diabetes_tvae_50,diabetes_tvae_100,diabetes_tvae_150,diabetes_tvae_200,diabetes_tvae_250,diabetes_tvae_300
-0.0394,0.0216,0.1788,0.0113,-0.0223,-0.0377
-0.0546,0.0213,0.2096,0.0362,-0.0062,0.0086
0.9412,1.0251,1.2921,1.0463,0.9929,1.0104
6.5755,4.7912,31.0857,6.5547,2.9113,2.4675
0.0854,0.0556,0.4625,0.1353,0.039,0.0518
-0.2593,-0.0688,0.1438,0.158,0.0119,-0.1746
0.7407,0.9257,1.2054,1.3017,1.0158,0.7925
0.216,0.0719,0.2212,0.168,0.1283,0.0676
0.0,0.0,0.0,0.0,0.0,0.0
0.9908,0.9931,0.9856,0.9713,0.9628,0.9748
93.0,95.0,91.0,93.0,88.0,91.0
,10.0507,20.3636,5.2539,3.1928,5.4576
