diabetes_tabfairgan_50_0.0,diabetes_tabfairgan_50_0.05,diabetes_tabfairgan_50_0.1,diabetes_tabfairgan_50_0.15,diabetes_tabfairgan_50_0.2,diabetes_tabfairgan_50_0.25,diabetes_tabfairgan_50_0.3,diabetes_tabfairgan_50_0.35,diabetes_tabfairgan_50_0.4,diabetes_tabfairgan_50_0.45,diabetes_tabfairgan_50_0.5,diabetes_tabfairgan_50_0.55,diabetes_tabfairgan_50_0.6,diabetes_tabfairgan_50_0.65,diabetes_tabfairgan_50_0.7,diabetes_tabfairgan_50_0.75,diabetes_tabfairgan_50_0.8,diabetes_tabfairgan_50_0.85,diabetes_tabfairgan_50_0.9,diabetes_tabfairgan_50_0.95,diabetes_tabfairgan_50_1.0,diabetes_tabfairgan_50_1.05,diabetes_tabfairgan_50_1.1,diabetes_tabfairgan_50_1.15,diabetes_tabfairgan_50_1.2,diabetes_tabfairgan_50_1.25,diabetes_tabfairgan_50_1.3,diabetes_tabfairgan_50_1.35,diabetes_tabfairgan_50_1.4,diabetes_tabfairgan_50_1.45,diabetes_tabfairgan_50_1.5,diabetes_tabfairgan_50_1.55,diabetes_tabfairgan_50_1.6,diabetes_tabfairgan_50_1.65,diabetes_tabfairgan_50_1.7,diabetes_tabfairgan_50_1.75,diabetes_tabfairgan_50_1.8,diabetes_tabfairgan_50_1.85,diabetes_tabfairgan_50_1.9,diabetes_tabfairgan_50_1.95,diabetes_tabfairgan_50_2.0,diabetes_tabfairgan_50_2.05,diabetes_tabfairgan_50_2.1,diabetes_tabfairgan_50_2.15,diabetes_tabfairgan_50_2.2,diabetes_tabfairgan_50_2.25,diabetes_tabfairgan_50_2.3,diabetes_tabfairgan_50_2.35,diabetes_tabfairgan_50_2.4,diabetes_tabfairgan_50_2.45,diabetes_tabfairgan_50_2.5,diabetes_tabfairgan_50_2.55,diabetes_tabfairgan_50_2.6,diabetes_tabfairgan_50_2.65,diabetes_tabfairgan_50_2.7,diabetes_tabfairgan_50_2.75,diabetes_tabfairgan_50_2.8,diabetes_tabfairgan_50_2.85,diabetes_tabfairgan_50_2.9,diabetes_tabfairgan_50_2.95,diabetes_tabfairgan_50_3.0,diabetes_tabfairgan_50_3.05,diabetes_tabfairgan_50_3.1,diabetes_tabfairgan_50_3.15,diabetes_tabfairgan_50_3.2,diabetes_tabfairgan_50_3.25,diabetes_tabfairgan_50_3.3,diabetes_tabfairgan_50_3.35,diabetes_tabfairgan_50_3.4,diabetes_tabfairgan_50_3.45,diabetes_tabfairgan_50_3.5,diabetes_tabfairgan_50_3.55,diabetes_tabfairgan_50_3.6,diabetes_tabfairgan_50_3.65,diabetes_tabfairgan_50_3.7,diabetes_tabfairgan_50_3.75,diabetes_tabfairgan_50_3.8,diabetes_tabfairgan_50_3.85,diabetes_tabfairgan_50_3.9,diabetes_tabfairgan_50_3.95,diabetes_tabfairgan_50_4.0,diabetes_tabfairgan_50_4.05,diabetes_tabfairgan_50_4.1,diabetes_tabfairgan_50_4.15,diabetes_tabfairgan_50_4.2,diabetes_tabfairgan_50_4.25,diabetes_tabfairgan_50_4.3,diabetes_tabfairgan_50_4.35,diabetes_tabfairgan_50_4.4,diabetes_tabfairgan_50_4.45,diabetes_tabfairgan_50_4.5,diabetes_tabfairgan_50_4.55,diabetes_tabfairgan_50_4.6,diabetes_tabfairgan_50_4.65,diabetes_tabfairgan_50_4.7,diabetes_tabfairgan_50_4.75,diabetes_tabfairgan_50_4.8,diabetes_tabfairgan_50_4.85,diabetes_tabfairgan_50_4.9,diabetes_tabfairgan_50_4.95,diabetes_tabfairgan_50_5.0,diabetes_tabfairgan_50_5.01,diabetes_tabfairgan_50_5.08,diabetes_tabfairgan_50_5.16,diabetes_tabfairgan_50_5.24,diabetes_tabfairgan_50_5.31,diabetes_tabfairgan_50_5.39,diabetes_tabfairgan_50_5.46,diabetes_tabfairgan_50_5.54,diabetes_tabfairgan_50_5.61,diabetes_tabfairgan_50_5.69,diabetes_tabfairgan_50_5.76,diabetes_tabfairgan_50_5.84,diabetes_tabfairgan_50_5.91,diabetes_tabfairgan_50_5.99
0.024,0.0006,-0.0388,-0.0624,-0.0165,-0.0386,-0.0153,0.0901,-0.0035,-0.0384,-0.0297,0.0559,0.0362,0.0176,-0.0136,-0.045,-0.0122,0.0818,0.0863,0.0371,0.0564,0.0569,-0.0224,0.0651,0.0388,-0.0154,0.0188,0.0818,0.018,0.0042,-0.001,-0.1026,0.0004,-0.0603,0.0228,0.0247,-0.0087,0.0469,0.0207,0.0212,-0.0232,0.003,-0.0643,0.0039,-0.0483,-0.0409,0.0201,0.0094,-0.0201,0.0228,0.0006,0.1099,0.05,-0.0061,0.0452,-0.0318,0.0508,0.0629,-0.0191,0.0562,0.0004,-0.018,0.0156,-0.0455,0.0658,-0.0356,-0.0055,-0.0507,-0.0235,0.0661,-0.0942,0.0783,-0.0215,-0.0465,-0.0089,-0.0025,0.0047,-0.0355,-0.0453,0.0862,-0.047,0.0198,-0.016,-0.0329,0.1152,0.0462,0.0404,0.0183,0.0202,0.0008,-0.0054,0.0584,0.0557,0.0361,0.0578,-0.0754,0.0402,-0.0272,0.0473,0.112,-0.0066,0.0067,0.0773,0.0536,0.0472,-0.0003,0.0365,0.0407,-0.0911,-0.0162,-0.0072,-0.0154,-0.049,0.0906,0.006
0.0198,-0.004,-0.0407,-0.0542,-0.0087,-0.0424,-0.0143,0.0925,0.0068,-0.0412,-0.0318,0.0501,0.0284,0.0099,-0.0085,-0.0458,-0.0049,0.0799,0.0818,0.0355,0.0559,0.0548,-0.0177,0.0556,0.0343,-0.0127,0.0137,0.084,0.0223,-0.0003,0.0031,-0.0971,0.0037,-0.0642,0.0324,0.0194,-0.002,0.0446,0.024,0.0082,-0.0241,0.0016,-0.0602,0.0044,-0.0408,-0.0407,0.0196,0.0098,-0.0237,0.0051,0.0027,0.1017,0.0507,-0.0244,0.0447,-0.0297,0.0316,0.0478,-0.0129,0.0605,-0.0055,-0.0215,0.0187,-0.0541,0.0689,-0.0357,-0.0087,-0.0455,-0.0191,0.0648,-0.0993,0.0774,-0.0186,-0.0495,-0.0109,0.003,0.0027,-0.0291,-0.0372,0.0893,-0.0543,0.0151,-0.0147,-0.0313,0.1114,0.0476,0.0188,0.0109,0.0193,0.0233,-0.0169,0.0569,0.0577,0.033,0.0554,-0.0709,0.0391,-0.0293,0.0478,0.108,-0.0071,0.0115,0.071,0.0538,0.0576,0.0067,0.0351,0.0335,-0.094,-0.0182,-0.0026,-0.0038,-0.0651,0.093,0.0038
1.033,0.9925,0.9272,0.9012,0.9846,0.9258,0.9746,1.1874,1.0123,0.9273,0.9404,1.0932,1.056,1.0169,0.9854,0.9194,0.9912,1.1557,1.1505,1.0692,1.0983,1.1029,0.9694,1.1072,1.0651,0.9765,1.0267,1.149,1.0414,0.9993,1.0062,0.8104,1.0069,0.884,1.0638,1.0369,0.9966,1.0876,1.0424,1.0144,0.9559,1.003,0.898,1.0085,0.9223,0.9256,1.0363,1.0178,0.9573,1.01,1.0047,1.1898,1.0922,0.9577,1.0805,0.9482,1.0584,1.0899,0.9773,1.1058,0.9901,0.9637,1.034,0.9017,1.1241,0.9406,0.9848,0.9174,0.9636,1.1215,0.8179,1.1546,0.9647,0.9066,0.9804,1.0057,1.0047,0.9444,0.9259,1.1797,0.8989,1.0266,0.973,0.9381,1.2349,1.0902,1.0365,1.0214,1.0349,1.0468,0.9688,1.1026,1.1056,1.0597,1.1016,0.8802,1.0718,0.9473,1.0863,1.203,0.9865,1.0227,1.1363,1.0914,1.1159,1.0131,1.0655,1.0615,0.8257,0.9668,0.995,0.9927,0.8857,1.1634,1.0071
3.3626,2.1306,1.8399,1.9869,1.0929,2.0693,1.8893,1.6002,1.3978,1.6605,1.8816,2.4955,1.5873,1.6255,1.7341,2.2396,2.7356,1.4765,2.0631,2.7053,2.4763,1.7669,2.1276,1.5214,1.3616,1.9579,1.9656,2.2727,1.6733,1.8548,2.1772,2.3188,2.1042,2.7285,2.5079,1.5194,1.8406,2.3424,2.7747,2.7616,1.7059,1.9399,2.8913,1.5882,2.7743,1.7533,2.9129,2.606,1.9466,1.2778,2.4737,1.6442,1.9054,1.798,1.4348,1.9101,1.7954,1.7499,1.3786,1.1581,1.5028,1.8243,2.3218,2.0064,3.8007,1.8881,1.8011,2.0393,1.5216,1.3285,1.5971,3.0425,1.4001,2.344,1.4744,1.7017,1.3732,2.3135,1.349,2.8464,1.7826,2.8003,2.3593,1.4615,2.9934,2.1165,1.3673,1.7667,1.845,2.5259,2.1264,1.6563,1.9428,1.6222,2.4353,1.7805,1.6724,2.1341,2.3423,3.0072,2.5251,2.1571,2.2597,2.7205,2.1702,2.3513,2.3282,2.4453,2.3275,1.4326,2.1074,1.2958,1.5015,2.2243,1.5909
0.2501,0.1361,0.1237,0.1358,0.0149,0.1741,0.107,0.2259,0.0653,0.0803,0.1213,0.2504,0.1264,0.0933,0.0784,0.1601,0.151,0.1886,0.2395,0.1993,0.2121,0.172,0.1372,0.1748,0.0937,0.1008,0.1121,0.2414,0.0938,0.0801,0.1183,0.1283,0.0949,0.1522,0.17,0.0917,0.0678,0.1857,0.1623,0.1596,0.0825,0.0879,0.1716,0.0724,0.1934,0.0957,0.1932,0.1659,0.1241,0.0353,0.119,0.2351,0.1667,0.0941,0.1124,0.1075,0.1374,0.1606,0.0362,0.1399,0.0538,0.0869,0.1314,0.1013,0.2784,0.0997,0.0764,0.1083,0.0539,0.1425,0.1146,0.2979,0.05,0.1147,0.0472,0.0902,0.0403,0.1144,0.0497,0.2738,0.1021,0.1816,0.1172,0.0674,0.3728,0.1997,0.0595,0.0763,0.0888,0.1923,0.0748,0.1752,0.1755,0.1261,0.2229,0.0905,0.1504,0.1011,0.1941,0.3179,0.1106,0.1313,0.2195,0.2541,0.1958,0.1442,0.1897,0.1574,0.1149,0.0417,0.0967,0.0437,0.0662,0.2412,0.0669
3.1668,2.1285,1.9681,2.2193,1.1114,2.2519,1.9744,3.1026,1.3961,1.774,1.9936,2.3783,1.8846,1.6257,1.7105,2.3857,2.7182,2.1912,2.2167,2.8376,2.382,2.0146,2.2168,1.9259,1.5457,2.0049,1.9345,2.1123,1.5346,1.841,2.1771,2.5753,2.054,3.0387,2.8482,1.5795,1.8626,2.8571,2.7713,2.7211,1.7929,1.938,3.2246,1.5916,2.9624,1.9078,2.8875,2.6166,2.0879,1.2874,2.4803,2.3734,1.8862,1.8692,1.5526,1.9997,1.7524,1.9853,1.3737,1.5378,1.5061,1.9247,2.2076,2.2385,3.6437,2.0837,1.8061,2.2379,1.5848,1.781,1.887,4.6601,1.4342,2.5804,1.5193,1.708,1.345,2.4306,1.4367,5.6,1.9781,2.7554,2.5092,1.5246,9.5,2.2689,1.5556,1.7931,1.7276,3.0571,2.1861,1.7793,1.9893,1.6087,2.2262,2.0093,1.7616,2.2308,2.2868,3.5111,2.5746,2.1818,2.7895,2.7779,3.5455,2.3266,2.2748,2.3403,2.7294,1.4579,2.169,1.3082,1.7234,2.2059,1.5755
0.2568,0.1499,0.0486,0.0054,0.003,-0.0167,0.0369,0.2106,0.0314,0.0686,0.0547,0.11,0.0556,0.0439,0.1091,0.0761,0.1507,0.2417,0.2555,0.1277,0.0811,0.1408,0.0517,0.0852,0.1766,0.0877,0.1436,0.2603,0.1985,0.1238,0.0528,-0.0657,0.1423,0.0242,0.1708,0.019,0.0417,0.1175,0.0829,0.1273,-0.0216,0.0685,0.0149,0.018,0.071,-0.0484,0.09,0.0877,-0.0169,0.0716,0.0869,0.2214,0.1276,0.0432,0.1582,0.0505,0.053,0.075,0.0732,-0.0459,0.0499,0.0121,0.1458,-0.0248,0.1012,-0.0455,0.0756,-0.0379,-0.0054,0.1921,-0.0231,0.1533,0.0507,0.0195,-0.0026,0.039,0.0575,0.0139,-0.03,0.1936,0.0,0.1101,0.0006,-0.0282,0.1869,0.075,0.0986,0.0776,0.1222,0.0793,0.0823,0.1022,0.1625,0.032,0.1662,-0.013,-0.0062,0.0699,0.0556,0.1614,0.0841,0.0786,0.188,0.0273,0.1608,0.1139,0.0658,0.1025,-0.0873,0.0682,-0.0054,0.0049,-0.0887,0.164,0.0727
1.9317,1.8172,1.2469,1.0263,1.0114,0.9227,1.1616,3.4141,1.1438,1.316,1.3302,1.6264,1.5,1.1875,1.5126,1.4375,1.9677,3.1502,2.5432,2.4762,1.3214,1.9714,1.2462,1.6214,2.1902,1.4969,2.4119,2.4487,2.31,1.9028,1.4643,0.2407,2.0717,1.166,3.1562,1.1216,1.1786,2.1212,1.3496,1.7,0.8606,1.5921,1.0739,1.1289,1.5765,0.7425,1.6471,1.5022,0.9222,1.6833,1.4675,2.5848,1.8259,1.2146,1.8571,1.2591,1.348,1.4565,1.3148,0.8184,1.3036,1.0519,1.875,0.8598,1.5566,0.8114,1.3838,0.7865,0.9618,2.2065,0.8524,3.3,1.4228,1.1545,0.9848,1.2697,1.3109,1.125,0.7297,4.1362,1.0,1.73,1.003,0.7674,5.2615,1.6,2.0513,1.7679,1.6497,2.0235,1.5116,1.5782,1.9013,1.1962,2.1636,0.9411,0.9693,1.4387,1.3033,2.3721,1.621,1.7622,2.5476,1.1074,4.3116,2.0865,1.4644,1.6023,0.3825,1.3607,0.9641,1.033,0.6036,1.8487,1.41
0.2818,0.1475,0.1186,0.1215,0.0143,0.1671,0.1114,0.0714,0.0576,0.0781,0.1142,0.1755,0.0773,0.0852,0.0925,0.1581,0.1674,0.064,0.1266,0.1418,0.1283,0.0847,0.1447,0.0808,0.0444,0.1041,0.0933,0.1273,0.07,0.0848,0.1138,0.1096,0.0972,0.1411,0.1192,0.0579,0.0794,0.1112,0.1361,0.1655,0.0792,0.0881,0.1699,0.0655,0.1823,0.0871,0.1677,0.16,0.121,0.0279,0.1285,0.0678,0.0866,0.0979,0.0447,0.1103,0.0847,0.0801,0.0424,0.0214,0.0583,0.0916,0.1134,0.0912,0.1698,0.0979,0.0862,0.1005,0.0505,0.0405,0.0825,0.1653,0.0478,0.1035,0.0476,0.0878,0.0423,0.1097,0.0399,0.12,0.0878,0.1709,0.1177,0.0598,0.1804,0.1188,0.0282,0.0587,0.0658,0.1518,0.0784,0.0831,0.088,0.069,0.1422,0.0822,0.08,0.1024,0.1151,0.1329,0.1141,0.1129,0.1055,0.1715,0.0958,0.1362,0.1326,0.1079,0.0955,0.0437,0.097,0.043,0.053,0.0872,0.0654
0.0,0.0,0.0,0.0,0.0,0.0007,0.0001,0.0,0.0,0.0002,0.0,0.0006,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0002,0.0003,0.0,0.0002,0.0001,0.0002,0.0,0.0,0.0,0.0003,0.0001,0.0002,0.0004,0.0001,0.0,0.0,0.0002,0.0,0.0001,0.0001,0.0001,0.0002,0.0,0.0002,0.0001,0.0002,0.0002,0.0003,0.0002,0.0004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0001,0.0003,0.0,0.0001,0.0,0.0,0.0005,0.0002,0.0,0.0002,0.0,0.0001,0.0001,0.0004,0.0,0.0,0.0,0.0001,0.0,0.0002,0.0,0.0001,0.0,0.0002,0.0003,0.0002,0.0009,0.0004,0.0,0.0,0.0,0.0005,0.0001,0.0001,0.0,0.0002,0.0001,0.0,0.0005,0.0,0.0003,0.0003,0.0,0.0001,0.0,0.0009,0.0,0.0001,0.0004,0.0001,0.0001,0.0001,0.0004,0.0001,0.0,0.0001,0.0
