heart_tabfairgan_50_02,heart_tabfairgan_50_04,heart_tabfairgan_50_06,heart_tabfairgan_50_08,heart_tabfairgan_50_1,heart_tabfairgan_50_15,heart_tabfairgan_50_2,heart_tabfairgan_50_5,heart_tabfairgan_100_02,heart_tabfairgan_100_04,heart_tabfairgan_100_06,heart_tabfairgan_100_08,heart_tabfairgan_100_1,heart_tabfairgan_100_15,heart_tabfairgan_100_2,heart_tabfairgan_100_5,heart_tabfairgan_150_02,heart_tabfairgan_150_04,heart_tabfairgan_150_06,heart_tabfairgan_150_08,heart_tabfairgan_150_1,heart_tabfairgan_150_15,heart_tabfairgan_150_2,heart_tabfairgan_150_5,heart_tabfairgan_200_02,heart_tabfairgan_200_04,heart_tabfairgan_200_06,heart_tabfairgan_200_08,heart_tabfairgan_200_1,heart_tabfairgan_200_15,heart_tabfairgan_200_2,heart_tabfairgan_200_5,heart_tabfairgan_250_02,heart_tabfairgan_250_04,heart_tabfairgan_250_06,heart_tabfairgan_250_08,heart_tabfairgan_250_1,heart_tabfairgan_250_15,heart_tabfairgan_250_2,heart_tabfairgan_250_5,heart_tabfairgan_300_02,heart_tabfairgan_300_04,heart_tabfairgan_300_06,heart_tabfairgan_300_08,heart_tabfairgan_300_1,heart_tabfairgan_300_15,heart_tabfairgan_300_2,heart_tabfairgan_300_5,heart_distcorrgan_50_02,heart_distcorrgan_50_04,heart_distcorrgan_50_06,heart_distcorrgan_50_08,heart_distcorrgan_50_1,heart_distcorrgan_50_15,heart_distcorrgan_50_2,heart_distcorrgan_50_5,heart_distcorrgan_100_02,heart_distcorrgan_100_04,heart_distcorrgan_100_06,heart_distcorrgan_100_08,heart_distcorrgan_100_1,heart_distcorrgan_100_15,heart_distcorrgan_100_2,heart_distcorrgan_100_5,heart_distcorrgan_150_02,heart_distcorrgan_150_04,heart_distcorrgan_150_06,heart_distcorrgan_150_08,heart_distcorrgan_150_1,heart_distcorrgan_150_15,heart_distcorrgan_150_2,heart_distcorrgan_150_5,heart_distcorrgan_200_02,heart_distcorrgan_200_04,heart_distcorrgan_200_06,heart_distcorrgan_200_08,heart_distcorrgan_200_1,heart_distcorrgan_200_15,heart_distcorrgan_200_2,heart_distcorrgan_200_5,heart_distcorrgan_250_02,heart_distcorrgan_250_04,heart_distcorrgan_250_06,heart_distcorrgan_250_08,heart_distcorrgan_250_1,heart_distcorrgan_250_15,heart_distcorrgan_250_2,heart_distcorrgan_250_5,heart_distcorrgan_300_02,heart_distcorrgan_300_04,heart_distcorrgan_300_06,heart_distcorrgan_300_08,heart_distcorrgan_300_1,heart_distcorrgan_300_15,heart_distcorrgan_300_2,heart_distcorrgan_300_5,heart_multifairgan_50_02,heart_multifairgan_50_04,heart_multifairgan_50_06,heart_multifairgan_50_08,heart_multifairgan_50_1,heart_multifairgan_50_15,heart_multifairgan_50_2,heart_multifairgan_50_5,heart_multifairgan_100_02,heart_multifairgan_100_04,heart_multifairgan_100_06,heart_multifairgan_100_08,heart_multifairgan_100_1,heart_multifairgan_100_15,heart_multifairgan_100_2,heart_multifairgan_100_5,heart_multifairgan_150_02,heart_multifairgan_150_04,heart_multifairgan_150_06,heart_multifairgan_150_08,heart_multifairgan_150_1,heart_multifairgan_150_15,heart_multifairgan_150_2,heart_multifairgan_150_5,heart_multifairgan_200_02,heart_multifairgan_200_04,heart_multifairgan_200_06,heart_multifairgan_200_08,heart_multifairgan_200_1,heart_multifairgan_200_15,heart_multifairgan_200_2,heart_multifairgan_200_5,heart_multifairgan_250_02,heart_multifairgan_250_04,heart_multifairgan_250_06,heart_multifairgan_250_08,heart_multifairgan_250_1,heart_multifairgan_250_15,heart_multifairgan_250_2,heart_multifairgan_250_5,heart_multifairgan_300_02,heart_multifairgan_300_04,heart_multifairgan_300_06,heart_multifairgan_300_08,heart_multifairgan_300_1,heart_multifairgan_300_15,heart_multifairgan_300_2,heart_multifairgan_300_5,heart_ctgan_50,heart_ctgan_100,heart_tvae_100,heart_ctgan_150,heart_tvae_150,heart_ctgan_200,heart_tvae_200,heart_ctgan_250,heart_tvae_250,heart_ctgan_300,heart_tvae_300
-0.0601,0.09,-0.0781,-0.1413,0.0641,0.1265,-0.0374,0.0232,-0.0683,-0.0759,-0.0187,0.0403,-0.1059,-0.113,0.0036,0.0888,-0.1154,0.0538,0.1651,0.0414,-0.0078,-0.1718,0.0916,-0.1363,-0.1231,0.0774,-0.172,-0.0808,0.089,-0.1307,-0.0282,0.008,-0.0274,-0.0759,-0.1498,-0.113,-0.1053,0.0407,0.0194,-0.1927,-0.0234,-0.0655,0.0066,-0.0797,-0.0263,0.0466,0.1068,-0.1797,0.032,-0.0487,-0.0124,-0.0811,-0.054,-0.2016,-0.0173,-0.0284,-0.0088,-0.0221,0.0353,0.0488,-0.0408,0.0684,0.0357,-0.0325,-0.0511,-0.1707,0.0558,-0.0683,-0.01,-0.0604,-0.1662,-0.1364,0.0142,0.0475,0.1143,-0.0889,0.071,0.0976,0.0114,-0.0244,0.0061,-0.1606,0.0043,0.0207,-0.0446,0.0907,0.0325,0.0454,0.0797,0.0568,-0.1989,0.0187,-0.0549,0.2031,0.057,0.064,-0.1724,-0.0037,-0.0091,0.203,0.0872,0.1194,0.0289,-0.0705,0.044,-0.1258,0.1743,-0.061,0.031,0.0688,0.1058,0.0023,-0.0085,-0.0578,0.0512,0.1545,-0.0105,0.0471,0.0253,0.1104,0.1186,-0.0253,-0.011,-0.1584,-0.1695,0.0205,0.0049,-0.0248,-0.0278,0.1623,-0.0185,-0.0752,0.0207,0.0709,-0.0191,-0.0181,-0.0066,-0.0441,0.0098,0.1287,-0.1546,-0.1033,0.0201,0.0206,0.1008,-0.0518,-0.9725,0.0523,-0.9802,-0.05,-0.9444,-0.1149,-0.9565,-0.0584,-0.9494
-0.0601,0.09,-0.0781,-0.1413,0.0641,0.1265,-0.0374,0.0232,-0.0683,-0.0759,-0.0187,0.0403,-0.1059,-0.113,0.0036,0.0888,-0.1154,0.0538,0.1651,0.0414,-0.0078,-0.1718,0.0916,-0.1363,-0.1231,0.0774,-0.172,-0.0808,0.089,-0.1307,-0.0282,0.008,-0.0274,-0.0759,-0.1498,-0.113,-0.1053,0.0407,0.0194,-0.1927,-0.0234,-0.0655,0.0066,-0.0797,-0.0263,0.0466,0.1068,-0.1797,0.032,-0.0487,-0.0124,-0.0811,-0.054,-0.2016,-0.0173,-0.0284,-0.0088,-0.0221,0.0353,0.0488,-0.0408,0.0684,0.0357,-0.0325,-0.0511,-0.1707,0.0558,-0.0683,-0.01,-0.0604,-0.1662,-0.1364,0.0142,0.0475,0.1143,-0.0889,0.071,0.0976,0.0114,-0.0244,0.0061,-0.1606,0.0043,0.0207,-0.0446,0.0907,0.0325,0.0454,0.0797,0.0568,-0.1989,0.0187,-0.0549,0.2031,0.057,0.064,-0.1724,-0.0037,-0.0091,0.203,0.0872,0.1194,0.0289,-0.0705,0.044,-0.1258,0.1743,-0.061,0.031,0.0688,0.1058,0.0023,-0.0085,-0.0578,0.0512,0.1545,-0.0105,0.0471,0.0253,0.1104,0.1186,-0.0253,-0.011,-0.1584,-0.1695,0.0205,0.0049,-0.0248,-0.0278,0.1623,-0.0185,-0.0752,0.0207,0.0709,-0.0191,-0.0181,-0.0066,-0.0441,0.0098,0.1287,-0.1546,-0.1033,0.0201,0.0206,0.1008,-0.0518,0.0275,0.0523,0.0198,-0.05,-0.111,-0.1149,0.0435,-0.0584,0.0506
0.8842,1.1744,0.8285,0.7039,1.1254,1.2672,0.9236,1.0414,0.8613,0.8678,0.9663,1.0809,0.7882,0.792,1.0077,1.1915,0.8192,1.0861,1.295,1.0717,0.9889,0.6945,1.151,0.8091,0.8076,1.1234,0.76,0.8814,1.1327,0.808,0.9613,1.0118,0.9619,0.8873,0.797,0.8444,0.854,1.0579,1.025,0.7431,0.9706,0.9136,1.0085,0.8909,0.965,1.0683,1.143,0.7674,1.0749,0.8958,0.9749,0.8581,0.896,0.6001,0.9608,0.9405,0.9821,0.9586,1.0732,1.1051,0.9184,1.1415,1.0736,0.932,0.8991,0.664,1.1207,0.8762,0.9811,0.8839,0.736,0.7605,1.0276,1.1039,1.2378,0.8179,1.1385,1.2247,1.0209,0.9558,1.0115,0.7054,1.0078,1.0476,0.9127,1.178,1.067,1.0899,1.1679,1.1066,0.6631,1.0419,0.8957,1.4726,1.1104,1.1559,0.6733,0.9933,0.982,1.4907,1.1917,1.2572,1.0636,0.869,1.0915,0.753,1.3825,0.8913,1.0592,1.1429,1.2063,1.0044,0.9842,0.8952,1.1089,1.3213,0.9783,1.0862,1.0457,1.2172,1.2423,0.9476,0.9777,0.7292,0.663,1.0431,1.0117,0.9455,0.9437,1.312,0.9673,0.8496,1.0415,1.1701,0.9632,0.961,0.9858,0.915,1.0206,1.2693,0.694,0.7948,1.0386,1.0364,1.2104,0.8926,1.0283,1.0877,1.0202,0.9171,0.8824,0.7773,1.0455,0.8824,1.0533
1.0511,0.7589,0.6653,1.1729,1.0154,0.9952,1.0213,0.7175,1.2703,1.0625,0.8872,1.0757,0.7492,1.2556,0.8649,0.9076,0.7857,0.8959,0.7118,0.6521,0.7925,0.5594,0.8847,0.7872,0.9498,0.7771,0.532,0.3939,0.6472,0.4683,0.3833,0.5567,0.45,0.2298,0.4621,0.4914,0.3874,0.3357,0.3086,0.8046,0.5089,0.4927,0.5597,0.6303,0.1057,0.2695,0.6467,0.3698,0.992,0.8402,1.0286,0.9781,1.1104,0.9052,0.8576,1.379,0.6679,0.85,0.993,0.9,1.0712,1.0086,1.1905,1.0037,1.0739,1.0138,1.0733,0.8875,1.033,0.9611,0.9024,1.1528,1.057,1.1,1.0502,1.0578,1.1575,0.9468,1.0865,1.0566,0.8929,0.5881,1.1447,1.1005,0.7311,0.8133,1.1737,0.937,0.9402,0.9867,1.1543,0.7778,1.0857,0.9791,1.4038,0.8793,0.7694,0.855,1.545,1.0022,1.1098,1.1094,0.9095,1.2416,1.0526,1.1136,1.2595,1.1148,0.7698,0.9302,0.9746,0.8057,1.589,1.0108,0.8081,1.0107,0.8478,0.9091,0.9079,0.7878,1.0673,1.35,0.9178,1.0154,1.008,1.1516,0.8748,1.1053,0.9691,1.2039,1.2826,1.0206,1.0057,1.0149,0.9861,0.7895,0.779,1.2667,0.9643,1.0558,0.7435,1.0797,1.2202,1.1146,0.8058,0.9343,0.0,0.7291,0.0,0.7901,0.3123,0.7345,0.0,0.8736,0.0
0.0887,-0.2516,-0.3064,0.2267,-0.0781,-0.1667,0.0631,-0.197,0.2448,0.1179,-0.0797,0.0774,-0.252,0.2613,-0.0915,-0.132,-0.2356,0.0589,-0.3382,-0.2089,-0.0683,-0.4908,0.1014,-0.2333,-0.1289,-0.105,-0.375,-0.3808,-0.1737,-0.39,-0.2401,-0.1259,-0.2326,-0.5017,-0.3716,-0.274,-0.3907,-0.277,-0.2368,-0.2167,-0.1754,-0.2224,-0.1227,-0.2115,-0.3495,-0.3211,0.1151,-0.4542,-0.0362,-0.1429,0.0261,-0.091,0.134,-0.2284,-0.065,0.1426,-0.1911,-0.0984,-0.0366,-0.0798,0.0879,-0.0735,0.1226,-0.0405,0.1022,-0.2091,0.0846,-0.1274,0.0302,-0.0819,-0.2284,0.2096,0.0483,0.0921,0.125,0.1155,0.1341,-0.1372,0.0746,0.05,-0.0697,-0.4002,0.08,0.0713,-0.1856,-0.2294,0.1135,-0.0769,-0.129,-0.086,0.2616,-0.168,0.1023,-0.2558,0.2534,-0.1288,-0.2982,-0.0796,0.2078,0.2248,0.1458,0.2055,-0.0778,0.168,0.0653,0.1304,0.2369,0.1053,-0.1336,-0.1535,-0.1616,-0.1198,0.2467,0.0902,-0.1652,-0.2175,-0.0692,-0.1149,-0.0599,-0.1182,-0.142,0.2423,-0.06,-0.188,0.3095,0.1167,-0.04,0.074,-0.0482,0.3073,0.1375,0.1331,-0.0257,0.0775,-0.0249,-0.0821,-0.1721,0.1383,-0.0263,-0.1406,-0.312,0.1147,0.1493,0.0741,-0.2336,-0.0755,-0.9717,-0.191,-0.9604,-0.1518,-0.9381,-0.2923,-0.9694,-0.1385,-0.9623
1.1698,0.5699,0.4947,1.3542,0.8649,0.75,1.1143,0.6286,1.4271,1.284,0.8776,1.129,0.6434,1.613,0.8558,0.7645,0.6797,0.885,0.3913,0.6209,0.8442,0.3039,0.7955,0.7042,1.364,0.7549,0.5,0.5253,0.6333,0.5063,0.4596,0.7043,0.3937,0.2841,0.5446,0.6186,0.5322,0.2921,0.3077,1.5625,0.4254,0.6272,0.55,0.7179,0.1441,0.2375,0.6611,0.4683,0.9446,0.6667,1.0484,1.2311,1.2474,0.6036,0.8049,1.4059,0.6357,0.8211,1.0805,0.8213,1.1687,0.8668,1.2453,0.9115,1.181,0.5208,1.2037,0.7563,1.0524,0.8721,0.6901,1.4676,1.0741,1.1988,1.25,1.2046,1.2683,0.751,1.1259,1.1179,0.8688,0.3657,1.1429,1.1463,0.664,0.6264,1.2506,0.8667,0.7949,0.8173,1.6914,0.7613,1.1943,0.6047,1.5217,0.8049,0.4138,0.859,1.5714,1.4129,1.35,1.5015,0.8727,1.4228,1.0889,1.3529,1.4167,1.2667,0.6858,0.7917,0.7768,0.7794,1.6379,1.148,0.7259,0.6571,0.7692,0.8304,0.8519,0.5543,0.7934,1.3831,0.9091,0.6741,1.4483,1.1782,0.8766,1.1217,0.8665,2.05,1.4583,1.1793,0.9562,1.1833,0.9306,0.6349,0.7578,1.3824,0.95,0.7273,0.4106,1.2364,1.2426,1.1111,0.6472,0.8631,0.0,0.5827,,0.7854,3.375,0.5499,0.0,0.7429,0.0
-0.1179,0.0542,-0.2095,-0.3132,0.1288,0.1858,0.0874,0.0599,0.1087,-0.1153,-0.0649,0.1114,-0.0577,0.0071,-0.1047,-0.0489,-0.1076,-0.1488,0.1107,-0.2124,-0.1099,-0.4169,-0.1333,-0.1384,-0.2515,-0.1923,-0.5037,-0.4919,-0.2216,-0.6082,-0.3132,-0.4527,-0.0875,-0.5007,-0.5494,-0.4061,-0.428,-0.2043,-0.2349,-0.5094,-0.0437,-0.207,-0.1181,-0.2024,-0.4896,-0.2705,-0.1774,-0.5783,0.0513,-0.1529,-0.0353,-0.241,-0.1379,-0.1953,0.0946,-0.0693,-0.2061,-0.0582,0.051,-0.0417,-0.0211,-0.0438,0.0,-0.0618,-0.0069,-0.2605,0.0758,0.0619,0.0178,0.0183,-0.026,-0.0413,0.0045,-0.0732,0.1891,-0.1405,0.1591,0.1458,-0.1414,-0.0283,0.0518,-0.2366,0.0336,0.0366,0.0027,0.1853,-0.0088,0.1204,0.0846,0.1489,-0.1336,-0.0481,-0.0476,0.1835,-0.0245,0.1543,-0.1598,-0.0539,0.0212,-0.1632,0.0022,-0.0097,0.1091,-0.1969,0.048,-0.1363,0.1125,-0.0915,0.1301,0.1011,-0.0311,0.1278,0.0705,0.0164,0.1682,0.1207,-0.1052,-0.1,0.0311,0.2027,0.0921,-0.072,0.0253,-0.1434,0.1471,0.0335,0.0343,-0.1278,-0.1189,0.1042,-0.2164,-0.039,0.1273,0.0932,-0.1429,-0.0368,-0.1351,0.1033,0.0984,0.2692,-0.159,-0.2003,-0.0422,0.0544,0.125,-0.0092,-0.981,-0.0009,-1.0,-0.1803,-0.9579,-0.3162,-0.9596,-0.3471,-0.9623
0.7924,1.0832,0.614,0.5278,1.2171,1.3372,1.1644,1.0988,1.2174,0.8211,0.898,1.2121,0.906,1.0119,0.8269,0.9059,0.8352,0.7871,1.1701,0.6833,0.8504,0.3102,0.8153,0.8187,0.6415,0.7222,0.3512,0.4039,0.6929,0.2301,0.6149,0.4046,0.8889,0.3633,0.3268,0.5225,0.4593,0.7459,0.7304,0.3845,0.9469,0.7545,0.8603,0.7424,0.4051,0.6725,0.7838,0.3018,1.1115,0.6304,0.9235,0.5983,0.8123,0.6611,1.5043,0.802,0.6453,0.8924,1.1136,0.8889,0.9653,0.9312,1.0,0.8378,0.9877,0.4247,1.1543,1.1318,1.0308,1.0372,0.9545,0.9188,1.0075,0.8612,1.3958,0.7366,1.3241,1.2972,0.7674,0.9464,1.0871,0.5849,1.0608,1.0657,1.0051,1.356,0.9828,1.333,1.1534,1.2597,0.7531,0.9094,0.9091,1.3429,0.9545,1.358,0.6253,0.8864,1.0519,0.7102,1.005,0.9752,1.2321,0.64,1.0707,0.6199,1.1571,0.8199,1.3227,1.1446,0.9605,1.275,1.1594,1.022,1.3629,1.1739,0.6406,0.875,1.0702,1.6818,1.1228,0.8889,1.0364,0.6894,1.2072,1.0537,1.1591,0.7841,0.7244,1.3214,0.627,0.9506,1.2121,1.2174,0.7143,0.8444,0.8249,1.2789,1.1852,1.5385,0.5996,0.5793,0.9405,1.0698,1.25,0.9838,0.0,0.9987,0.0,0.7482,0.0,0.5132,0.0,0.5042,0.0
0.0278,-0.146,-0.2156,0.1053,0.0091,-0.003,0.0115,-0.1687,0.153,0.0312,-0.0684,0.0456,-0.1773,0.1213,-0.0818,-0.048,-0.1304,-0.0596,-0.1809,-0.2246,-0.1164,-0.2864,-0.0616,-0.131,-0.024,-0.1288,-0.2688,-0.4396,-0.2393,-0.3569,-0.3925,-0.2875,-0.3056,-0.5587,-0.3493,-0.2911,-0.4142,-0.4396,-0.5135,-0.1214,-0.2714,-0.2904,-0.2791,-0.2071,-0.6046,-0.4978,-0.2125,-0.4132,-0.0046,-0.0742,0.0153,-0.0083,0.0629,-0.0543,-0.0599,0.1263,-0.1768,-0.0776,-0.0031,-0.0417,0.0371,0.0045,0.0971,0.0018,0.0422,0.0059,0.0331,-0.052,0.02,-0.0241,-0.0583,0.0779,0.0365,0.05,0.0261,0.0319,0.0767,-0.0254,0.0478,0.0268,-0.06,-0.2425,0.0797,0.0541,-0.1458,-0.1165,0.0812,-0.0366,-0.0359,-0.0068,0.0708,-0.1429,0.0474,-0.0118,0.1899,-0.0686,-0.1097,-0.0806,0.2002,0.0014,0.0508,0.0493,-0.0511,0.1052,0.0392,0.0427,0.1534,0.0515,-0.1019,-0.0495,-0.0189,-0.1104,0.245,0.0074,-0.11,0.0065,-0.0495,-0.0682,-0.041,-0.0573,0.0452,0.2139,-0.0546,0.0072,0.0056,0.1018,-0.044,0.058,-0.0114,0.0539,0.1031,0.0153,0.0033,0.0075,-0.0047,-0.058,-0.16,0.1,-0.0179,0.0275,-0.1342,0.0389,0.1328,0.0725,-0.1244,-0.0373,-0.5801,-0.1558,-0.5511,-0.1328,-0.367,-0.1694,-0.5858,-0.0683,-0.6272
0.0006,0.0009,0.0006,0.0069,0.0004,0.0006,0.0009,0.0026,0.0,0.0004,0.0,0.0001,0.003,0.0,0.0,0.0006,0.0006,0.0018,0.0007,0.0003,0.0001,0.0002,0.0028,0.0005,0.001,0.0021,0.0008,0.0004,0.0006,0.0021,0.0001,0.0023,0.0003,0.0,0.0013,0.001,0.0,0.0,0.0,0.0052,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0015,0.0003,0.0001,0.0,0.0002,0.0022,0.0037,0.0003,0.0044,0.0031,0.0,0.0002,0.0,0.0004,0.0001,0.0017,0.0024,0.0001,0.0,0.0007,0.0,0.0046,0.0,0.0009,0.0034,0.0,0.0001,0.0026,0.0004,0.0008,0.0001,0.0007,0.0035,0.0001,0.0009,0.0026,0.0002,0.0002,0.0043,0.005,0.0017,0.0012,0.0002,0.001,0.0,0.0008,0.0002,0.0,0.0061,0.0036,0.0024,0.0,0.0023,0.0077,0.0016,0.0022,0.0014,0.0044,0.0,0.0001,0.0021,0.0005,0.0028,0.0014,0.0006,0.0052,0.0023,0.0002,0.0043,0.0,0.0002,0.0005,0.0001,0.0002,0.0,0.0062,0.0007,0.0,0.0033,0.0006,0.0007,0.0028,0.0005,0.0013,0.0079,0.0,0.0014,0.0,0.0013,0.0005,0.0002,0.0002,0.0014,0.0019,0.0025,0.002,0.0038,0.0,0.0014,0.0004,0.0,0.0003,0.0,0.0001,0.0005,0.0001,0.0,0.0048,0.0
