heart_tabfairgan_50_02,heart_tabfairgan_50_04,heart_tabfairgan_50_06,heart_tabfairgan_50_08,heart_tabfairgan_50_1,heart_tabfairgan_50_15,heart_tabfairgan_50_2,heart_tabfairgan_50_5,heart_tabfairgan_100_02,heart_tabfairgan_100_04,heart_tabfairgan_100_06,heart_tabfairgan_100_08,heart_tabfairgan_100_1,heart_tabfairgan_100_15,heart_tabfairgan_100_2,heart_tabfairgan_100_5,heart_tabfairgan_150_02,heart_tabfairgan_150_04,heart_tabfairgan_150_06,heart_tabfairgan_150_08,heart_tabfairgan_150_1,heart_tabfairgan_150_15,heart_tabfairgan_150_2,heart_tabfairgan_150_5,heart_tabfairgan_200_02,heart_tabfairgan_200_04,heart_tabfairgan_200_06,heart_tabfairgan_200_08,heart_tabfairgan_200_1,heart_tabfairgan_200_15,heart_tabfairgan_200_2,heart_tabfairgan_200_5,heart_tabfairgan_250_02,heart_tabfairgan_250_04,heart_tabfairgan_250_06,heart_tabfairgan_250_08,heart_tabfairgan_250_1,heart_tabfairgan_250_15,heart_tabfairgan_250_2,heart_tabfairgan_250_5,heart_tabfairgan_300_02,heart_tabfairgan_300_04,heart_tabfairgan_300_06,heart_tabfairgan_300_08,heart_tabfairgan_300_1,heart_tabfairgan_300_15,heart_tabfairgan_300_2,heart_tabfairgan_300_5,heart_distcorrgan_50_02,heart_distcorrgan_50_04,heart_distcorrgan_50_06,heart_distcorrgan_50_08,heart_distcorrgan_50_1,heart_distcorrgan_50_15,heart_distcorrgan_50_2,heart_distcorrgan_50_5,heart_distcorrgan_100_02,heart_distcorrgan_100_04,heart_distcorrgan_100_06,heart_distcorrgan_100_08,heart_distcorrgan_100_1,heart_distcorrgan_100_15,heart_distcorrgan_100_2,heart_distcorrgan_100_5,heart_distcorrgan_150_02,heart_distcorrgan_150_04,heart_distcorrgan_150_06,heart_distcorrgan_150_08,heart_distcorrgan_150_1,heart_distcorrgan_150_15,heart_distcorrgan_150_2,heart_distcorrgan_150_5,heart_distcorrgan_200_02,heart_distcorrgan_200_04,heart_distcorrgan_200_06,heart_distcorrgan_200_08,heart_distcorrgan_200_1,heart_distcorrgan_200_15,heart_distcorrgan_200_2,heart_distcorrgan_200_5,heart_distcorrgan_250_02,heart_distcorrgan_250_04,heart_distcorrgan_250_06,heart_distcorrgan_250_08,heart_distcorrgan_250_1,heart_distcorrgan_250_15,heart_distcorrgan_250_2,heart_distcorrgan_250_5,heart_distcorrgan_300_02,heart_distcorrgan_300_04,heart_distcorrgan_300_06,heart_distcorrgan_300_08,heart_distcorrgan_300_1,heart_distcorrgan_300_15,heart_distcorrgan_300_2,heart_distcorrgan_300_5,heart_multifairgan_50_02,heart_multifairgan_50_04,heart_multifairgan_50_06,heart_multifairgan_50_08,heart_multifairgan_50_1,heart_multifairgan_50_15,heart_multifairgan_50_2,heart_multifairgan_50_5,heart_multifairgan_100_02,heart_multifairgan_100_04,heart_multifairgan_100_06,heart_multifairgan_100_08,heart_multifairgan_100_1,heart_multifairgan_100_15,heart_multifairgan_100_2,heart_multifairgan_100_5,heart_multifairgan_150_02,heart_multifairgan_150_04,heart_multifairgan_150_06,heart_multifairgan_150_08,heart_multifairgan_150_1,heart_multifairgan_150_15,heart_multifairgan_150_2,heart_multifairgan_150_5,heart_multifairgan_200_02,heart_multifairgan_200_04,heart_multifairgan_200_06,heart_multifairgan_200_08,heart_multifairgan_200_1,heart_multifairgan_200_15,heart_multifairgan_200_2,heart_multifairgan_200_5,heart_multifairgan_250_02,heart_multifairgan_250_04,heart_multifairgan_250_06,heart_multifairgan_250_08,heart_multifairgan_250_1,heart_multifairgan_250_15,heart_multifairgan_250_2,heart_multifairgan_250_5,heart_multifairgan_300_02,heart_multifairgan_300_04,heart_multifairgan_300_06,heart_multifairgan_300_08,heart_multifairgan_300_1,heart_multifairgan_300_15,heart_multifairgan_300_2,heart_multifairgan_300_5,heart_ctgan_50,heart_tvae_50,heart_ctgan_100,heart_tvae_100,heart_ctgan_150,heart_tvae_150,heart_ctgan_200,heart_ctgan_250,heart_tvae_250,heart_ctgan_300,heart_tvae_300
0.0375,0.0862,-0.1209,-0.1007,-0.0756,0.1832,-0.0725,-0.0125,-0.1324,-0.07,0.1554,0.0711,0.0672,0.0321,0.038,0.1531,-0.1107,-0.0859,-0.2074,-0.1306,-0.2575,-0.0996,-0.0155,0.0193,-0.1744,-0.0934,-0.2203,-0.02,0.0955,-0.1109,-0.0669,-0.1486,-0.0168,-0.0542,0.0659,-0.0877,-0.1944,-0.274,-0.0927,-0.0326,-0.1794,0.0399,-0.2305,-0.1511,-0.147,0.0177,-0.0833,-0.0536,0.0054,0.0891,-0.1219,0.0251,-0.0315,0.1386,0.089,0.0443,-0.0064,-0.0303,-0.0124,0.0619,-0.0204,0.0737,0.0077,0.0286,-0.1974,-0.0634,0.1567,-0.0635,-0.0046,-0.0943,-0.0407,-0.0441,0.0291,-0.1723,-0.0834,0.1255,-0.034,0.0307,-0.0447,0.0809,-0.188,0.0442,0.1584,-0.0222,-0.0504,-0.0027,0.0528,0.0352,0.0428,0.0743,-0.0559,0.0844,-0.0328,0.0686,0.0523,-0.0981,-0.0101,-0.0163,-0.0511,0.0311,0.0895,-0.0691,0.0239,0.0792,-0.1673,-0.0873,-0.067,0.0273,0.1705,0.0561,0.0198,0.0621,-0.0765,-0.0358,-0.0262,0.1858,0.0234,-0.0231,0.0195,0.1567,0.2134,-0.0305,-0.2471,0.1241,0.0492,0.1621,0.0076,0.0272,-0.1216,0.1044,-0.0051,-0.1106,-0.017,-0.0501,-0.031,0.0326,0.0126,0.1066,-0.0771,-0.0173,0.0102,0.1344,0.1737,0.0289,0.063,-0.9692,-0.1298,-0.9375,-0.0729,-0.9621,0.0254,-0.1361,-0.9128,-0.0318,-0.9554
0.0375,0.0862,-0.1209,-0.1007,-0.0731,0.1832,-0.0725,-0.0125,-0.1324,-0.07,0.1289,0.0711,0.0672,0.0321,0.038,0.1531,-0.1107,-0.0859,-0.2074,-0.1306,-0.2575,-0.0996,-0.0155,0.0193,-0.1744,-0.0934,-0.2203,-0.02,0.0955,-0.1109,-0.0669,-0.1486,-0.0168,-0.0542,0.0659,-0.0877,-0.1944,-0.274,-0.0927,-0.0326,-0.1794,0.0399,-0.2305,-0.1511,-0.147,0.0177,-0.0833,-0.0536,0.0054,0.0891,-0.1219,0.0251,-0.0315,0.1386,0.089,0.0443,-0.0064,-0.0303,-0.0124,0.0619,-0.0204,0.0737,0.0077,0.0286,-0.1974,-0.0634,0.1567,-0.0635,-0.0046,-0.0943,-0.0407,-0.0441,0.0291,-0.1723,-0.0834,0.1255,-0.034,0.0307,-0.0447,0.0809,-0.188,0.0442,0.1584,-0.0222,-0.0504,-0.0027,0.0528,0.0352,0.0428,0.0743,-0.0559,0.0844,-0.0328,0.0686,0.0523,-0.0981,-0.0101,-0.0163,-0.0511,0.0311,0.0895,-0.0691,0.0239,0.0792,-0.1673,-0.0873,-0.067,0.0273,0.1705,0.0561,0.0198,0.0621,-0.0765,-0.0358,-0.0262,0.1858,0.0234,-0.0231,0.0195,0.1567,0.2134,-0.0305,-0.2471,0.1241,0.0492,0.1621,0.0076,0.0272,-0.1216,0.1044,-0.0051,-0.1106,-0.017,-0.0501,-0.031,0.0326,0.0126,0.1066,-0.0771,-0.0173,0.0102,0.1344,0.1737,0.0289,0.063,0.0308,-0.1298,0.0625,-0.0729,-0.0871,0.0254,-0.1361,0.0872,-0.0318,0.0446
1.0806,1.1597,0.7777,0.833,0.845,1.3977,0.8632,0.9749,0.812,0.8681,1.2232,1.1272,1.1217,1.0449,1.0614,1.2695,0.8436,0.89,0.7116,0.8326,0.6577,0.8633,0.9775,1.0278,0.7717,0.8792,0.7278,0.9734,1.1247,0.8434,0.9118,0.797,0.9767,0.9285,1.0921,0.8898,0.7617,0.6594,0.8908,0.9592,0.7909,1.0492,0.6954,0.8029,0.8082,1.0236,0.8889,0.9303,1.0098,1.1737,0.7795,1.0499,0.9407,1.345,1.1903,1.0847,0.987,0.9433,0.9716,1.1259,0.9639,1.1477,1.0165,1.0585,0.6587,0.8466,1.3643,0.8663,0.9912,0.8311,0.9163,0.9153,1.0563,0.6764,0.826,1.2797,0.9304,1.06,0.9083,1.1599,0.6393,1.0877,1.3211,0.9504,0.9002,0.9937,1.1122,1.0649,1.0875,1.1516,0.8811,1.196,0.937,1.1664,1.1135,0.8244,0.981,0.9633,0.8974,1.0554,1.1863,0.8538,1.0456,1.1751,0.7118,0.8357,0.8838,1.055,1.3831,1.1203,1.0388,1.1342,0.865,0.935,0.9451,1.3911,1.0468,0.9572,1.0441,1.3091,1.4697,0.9435,0.5895,1.2773,1.101,1.3389,1.0154,1.0588,0.7789,1.2111,0.9894,0.8075,0.9658,0.9039,0.9421,1.063,1.0229,1.2167,0.8639,0.9617,1.0196,1.2979,1.3491,1.0526,1.1254,1.0317,0.77,1.0667,0.8697,0.9094,1.0505,0.8016,1.0955,0.9398,1.0467
1.0478,1.037,1.1447,1.093,1.0714,0.8926,1.1086,0.9817,0.2276,0.8198,0.567,0.6022,0.5983,0.8629,0.3449,1.0435,0.2838,0.573,0.2683,0.2896,0.3347,0.5577,0.5641,0.5704,0.244,0.3614,0.6786,0.4914,0.5833,0.2977,0.3975,0.2788,0.6386,0.6337,0.2785,0.5554,0.5826,0.4548,0.4995,0.2141,0.3845,0.676,0.211,0.4507,0.516,0.3608,0.2909,0.4754,1.3371,1.1207,0.9081,0.8976,1.0278,1.0579,1.0245,1.0137,0.9381,1.1273,1.2594,0.9431,0.75,0.9887,0.9149,0.7212,0.9915,1.0778,0.9143,1.1807,0.7823,0.9266,0.9672,1.1458,1.192,1.0946,0.9727,1.1863,1.1076,0.8485,1.18,0.9956,0.7822,1.0553,0.9794,0.9826,0.9284,1.1174,0.9202,1.0031,0.8467,0.9706,1.2146,0.9911,1.3061,0.8657,0.8143,0.5833,0.7143,0.7773,0.435,1.1766,1.0671,1.4548,0.9409,0.8972,0.7796,0.9025,1.2546,0.7773,1.3274,0.8407,1.1604,1.0314,0.855,0.9853,1.1783,1.1377,0.6638,0.8889,0.9559,1.0286,1.1303,1.1441,0.9852,0.9824,1.1652,0.8129,1.0147,0.8333,0.9869,1.1032,1.1224,1.089,0.9297,0.73,1.0143,1.0615,0.9653,1.1454,1.1667,1.0102,0.7374,1.3106,0.8214,0.9029,1.0519,0.0,0.9976,0.0,1.1,0.2115,1.0878,0.4041,0.0,0.7148,0.0
0.0569,-0.1032,0.2143,0.1784,0.1212,-0.2613,0.1706,-0.0211,-0.6064,-0.1618,-0.35,-0.3012,-0.2748,-0.0881,-0.35,0.2118,-0.3563,-0.1856,-0.602,-0.4804,-0.6239,-0.2128,-0.1699,-0.0642,-0.5284,-0.3627,-0.3401,-0.1778,-0.1049,-0.4225,-0.2912,-0.5,-0.1379,-0.1562,-0.3251,-0.1754,-0.3621,-0.5016,-0.2048,-0.2557,-0.4111,-0.0761,-0.6357,-0.3609,-0.3469,-0.2085,-0.3333,-0.1312,0.1667,0.1613,-0.1701,-0.0716,0.0447,0.1603,0.096,0.0598,-0.0437,0.1146,0.1582,-0.0949,-0.1882,0.0774,-0.0472,-0.2083,0.2142,0.0768,-0.1949,0.1365,-0.1222,-0.1267,-0.0567,0.1324,0.1298,0.22,-0.1175,0.2172,0.093,-0.125,0.1404,-0.0871,-0.3646,0.0754,-0.2141,0.0296,-0.0848,0.0552,-0.1145,0.0476,-0.1441,-0.1086,0.1929,-0.0952,0.2085,-0.1515,-0.1727,-0.3622,-0.15,-0.148,-0.3277,0.1333,0.1304,0.2121,-0.0686,-0.1375,-0.2799,-0.153,0.1518,-0.1186,0.3147,-0.1154,0.1044,-0.0655,-0.1402,-0.0385,0.1165,0.3071,-0.2835,-0.0796,-0.0549,-0.164,0.3075,0.0754,0.3828,-0.2036,0.1407,-0.3984,0.0152,-0.0809,-0.141,0.1522,0.0996,-0.1218,-0.0549,-0.2189,0.059,0.0629,-0.0265,0.1761,0.1542,-0.0214,-0.1896,0.277,-0.3011,-0.0824,0.0922,-0.951,0.1798,-0.9464,0.1385,-0.9533,0.0669,-0.4167,-0.9286,-0.1916,-0.9478
1.1125,0.7885,1.4286,1.3449,1.2222,0.6049,1.281,0.9667,0.2742,0.712,0.3,0.4868,0.487,0.6941,0.3,1.3462,0.4833,0.7822,0.2494,0.3133,0.2626,0.7015,0.5668,0.8322,0.3868,0.3512,1.3957,0.4973,0.5631,0.409,0.4231,0.4,0.713,0.8,0.2414,0.7917,0.6054,0.3992,0.7737,0.2531,0.5488,0.6957,0.2077,0.5612,0.5904,0.3355,0.5,0.8356,1.3821,1.3125,0.7055,0.8651,1.0912,1.4594,1.1743,1.1017,0.9262,1.1958,1.2857,0.8317,0.7397,1.1313,0.912,0.6847,1.4949,1.1233,0.6389,1.2877,0.7742,0.7979,0.8955,1.2333,1.251,1.44,0.7691,1.4465,1.178,0.75,1.2667,0.8021,0.4776,1.1216,0.6294,1.0507,0.8225,1.1008,0.8206,1.0909,0.7763,0.8403,1.3297,0.8547,1.3947,0.7727,0.7432,0.4887,0.7,0.7378,0.3036,1.2162,1.3529,1.6364,0.8929,0.7843,0.4567,0.6713,1.4605,0.7305,2.0139,0.7692,1.1939,1.0953,0.731,1.056,1.2174,1.9031,0.6158,0.8702,0.9318,0.7152,2.0131,1.2699,1.74,0.7373,1.2865,0.5329,1.0312,0.799,0.7471,1.3043,1.1314,1.2558,0.8824,0.6579,1.0821,1.0966,0.9362,1.2562,1.3519,0.9451,0.7088,2.4314,0.4941,0.8636,1.1646,0.0,1.3364,0.0,1.2903,4.3125,1.137,0.4444,0.0,0.685,0.0
-0.0888,0.2497,-0.1357,-0.2,-0.1371,0.0832,0.0742,0.0499,-0.3407,-0.2368,0.1178,-0.0966,-0.0837,0.0237,-0.2442,-0.0056,-0.668,-0.3983,-0.6922,-0.1771,-0.6795,-0.4208,-0.1389,-0.5539,-0.6922,-0.1118,-0.4004,-0.1379,-0.1362,-0.4081,-0.1609,-0.5747,-0.1895,-0.1856,-0.2323,-0.3987,-0.3478,-0.6276,-0.3252,-0.2646,-0.2683,-0.1111,-0.4129,-0.3889,-0.3384,-0.1732,-0.6086,-0.5544,-0.0783,-0.0133,-0.2419,-0.0806,-0.0098,0.2241,0.0495,-0.0635,-0.0609,0.1336,0.0685,0.0285,0.0387,-0.0695,0.0589,0.0522,-0.1633,-0.1557,0.15,-0.1003,0.0947,-0.1685,-0.0201,-0.1346,-0.0762,-0.1136,-0.1328,0.0371,0.1148,0.2317,-0.0824,0.065,-0.3881,0.0082,0.1361,0.106,-0.0933,-0.0875,0.0348,0.0131,-0.0457,-0.0236,0.0129,0.1645,0.1518,0.0772,0.0972,-0.0524,0.1333,-0.0191,-0.165,0.0116,0.2172,0.0725,-0.0068,0.0961,-0.2407,-0.2024,-0.1959,0.1708,0.1527,0.053,-0.0375,0.0834,-0.2066,0.113,0.0081,0.0966,0.0895,-0.037,0.072,0.1607,0.232,-0.0866,-0.098,0.1314,0.0813,0.0877,0.1381,0.0863,-0.0162,-0.0714,0.0483,-0.1827,0.0052,-0.1244,-0.003,-0.0575,0.0082,0.0691,-0.1008,-0.0652,-0.033,0.2235,0.3182,-0.0951,0.0101,-0.9898,0.0666,-0.955,-0.0754,-0.9808,-0.0335,-0.5152,-0.9286,-0.3735,-0.982
0.8421,1.5125,0.7806,0.7,0.7913,1.1476,1.1148,1.0889,0.5571,0.64,1.1864,0.8613,0.8722,1.0305,0.6719,0.9913,0.1762,0.5274,0.1711,0.7901,0.197,0.4975,0.8182,0.3513,0.1711,0.8647,0.5126,0.8286,0.8382,0.4788,0.8056,0.3031,0.7563,0.7822,0.711,0.5365,0.5897,0.2849,0.6235,0.694,0.7056,0.875,0.5093,0.5625,0.5964,0.7861,0.2912,0.3569,0.8696,0.976,0.6106,0.8242,0.9808,1.5826,1.0936,0.8919,0.8972,1.2138,1.1253,1.0538,1.0626,0.8757,1.1537,1.1167,0.7337,0.6583,1.3462,0.7874,1.1926,0.7348,0.9592,0.7742,0.873,0.7695,0.6931,1.0711,1.3263,1.4565,0.8608,1.1161,0.3918,1.0146,1.2166,1.2607,0.825,0.8444,1.057,1.0303,0.9248,0.9642,1.0224,1.3598,1.2698,1.1624,1.2,0.9076,1.4,0.9649,0.6339,1.0249,1.7028,1.2778,0.9899,1.2217,0.5611,0.5653,0.5864,1.6406,1.3988,1.1645,0.9375,1.129,0.6595,1.1626,1.0207,1.2672,1.1292,0.9474,1.1086,1.2935,1.6687,0.8386,0.8824,1.1872,1.2137,1.1176,1.2935,1.275,0.9626,0.8936,1.0633,0.5128,1.0159,0.7719,0.9962,0.9256,1.016,1.1089,0.8095,0.83,0.954,2.2667,1.7602,0.8604,1.0185,0.0,1.0994,0.0,0.8805,0.0,0.9432,0.368,0.0,0.4555,0.0
0.0255,0.0194,0.0797,0.0594,0.0362,-0.066,0.07,-0.0116,-0.5657,-0.0971,-0.2545,-0.2642,-0.241,-0.0739,-0.4301,0.0242,-0.3841,-0.2794,-0.4895,-0.4906,-0.4586,-0.244,-0.2378,-0.2896,-0.5164,-0.3865,-0.1957,-0.2911,-0.2381,-0.4193,-0.359,-0.4926,-0.229,-0.2223,-0.5181,-0.2813,-0.2866,-0.3425,-0.3102,-0.5098,-0.4229,-0.2212,-0.4939,-0.3751,-0.3216,-0.3977,-0.4875,-0.326,0.1546,0.0609,-0.0489,-0.0546,0.0145,0.026,0.0142,0.0078,-0.037,0.0799,0.1339,-0.0315,-0.1667,-0.0067,-0.0435,-0.1813,-0.0044,0.0412,-0.0402,0.0812,-0.1137,-0.0424,-0.0182,0.0862,0.0966,0.0501,-0.0145,0.0989,0.0553,-0.0775,0.0919,-0.002,-0.1485,0.0341,-0.0117,-0.0093,-0.0338,0.0637,-0.048,0.0015,-0.0965,-0.0196,0.1178,-0.0052,0.1689,-0.0766,-0.1173,-0.2717,-0.1304,-0.1361,-0.2675,0.0962,0.0265,0.1443,-0.0397,-0.0609,-0.0943,-0.0419,0.0987,-0.0975,0.1211,-0.0758,0.0851,0.0201,-0.0665,-0.0097,0.0923,0.051,-0.2479,-0.0652,-0.032,0.0167,0.0466,0.0458,-0.01,-0.0123,0.0838,-0.1535,0.0072,-0.0625,-0.0065,0.052,0.0895,0.0386,-0.0331,-0.1673,0.0111,0.0396,-0.016,0.1008,0.0833,0.0045,-0.1781,0.0832,-0.1059,-0.065,0.029,-0.5385,-0.0015,-0.6099,0.0545,-0.4659,0.0427,-0.3781,-0.5904,-0.168,-0.6568
0.0018,0.0018,0.0013,0.0025,0.0015,0.0,0.0002,0.0003,0.0028,0.0005,0.0014,0.0002,0.0001,0.0001,0.0,0.002,0.0034,0.0012,0.0005,0.0025,0.0003,0.0021,0.0,0.0088,0.0004,0.0011,0.0002,0.0,0.0013,0.0,0.0002,0.0001,0.0001,0.0001,0.0,0.0012,0.0,0.0007,0.0002,0.0,0.0006,0.0004,0.0038,0.0001,0.0,0.0,0.0012,0.004,0.0061,0.0026,0.0006,0.0003,0.0,0.0003,0.0002,0.0013,0.0,0.0008,0.0007,0.0,0.0051,0.0016,0.0011,0.0043,0.0001,0.0017,0.0,0.0019,0.0054,0.0002,0.0001,0.0035,0.0032,0.0,0.0002,0.0029,0.0008,0.0092,0.0026,0.0001,0.0003,0.0003,0.0,0.0021,0.0,0.0028,0.0002,0.0,0.0,0.0003,0.0006,0.001,0.0,0.0012,0.0031,0.0131,0.0054,0.0018,0.004,0.0006,0.0006,0.0,0.0,0.0004,0.0005,0.0004,0.0032,0.0042,0.0028,0.0005,0.002,0.0001,0.0004,0.002,0.0003,0.0022,0.0105,0.0002,0.0008,0.0,0.0005,0.0009,0.0001,0.0006,0.0001,0.0021,0.0015,0.0014,0.001,0.0056,0.0002,0.0012,0.0002,0.0006,0.0,0.0015,0.0,0.0006,0.001,0.0003,0.0016,0.0001,0.0041,0.0003,0.0005,0.0,0.0018,0.0,0.0003,0.0004,0.0009,0.0006,0.0,0.0029,0.0
