obesity_tabfairgan_50_02,obesity_tabfairgan_50_04,obesity_tabfairgan_50_06,obesity_tabfairgan_50_08,obesity_tabfairgan_50_1,obesity_tabfairgan_50_15,obesity_tabfairgan_50_2,obesity_tabfairgan_50_5,obesity_tabfairgan_100_02,obesity_tabfairgan_100_04,obesity_tabfairgan_100_06,obesity_tabfairgan_100_08,obesity_tabfairgan_100_1,obesity_tabfairgan_100_15,obesity_tabfairgan_100_2,obesity_tabfairgan_100_5,obesity_tabfairgan_150_02,obesity_tabfairgan_150_04,obesity_tabfairgan_150_06,obesity_tabfairgan_150_08,obesity_tabfairgan_150_1,obesity_tabfairgan_150_15,obesity_tabfairgan_150_2,obesity_tabfairgan_150_5,obesity_tabfairgan_200_02,obesity_tabfairgan_200_04,obesity_tabfairgan_200_06,obesity_tabfairgan_200_08,obesity_tabfairgan_200_1,obesity_tabfairgan_200_15,obesity_tabfairgan_200_2,obesity_tabfairgan_200_5,obesity_tabfairgan_250_02,obesity_tabfairgan_250_04,obesity_tabfairgan_250_06,obesity_tabfairgan_250_08,obesity_tabfairgan_250_1,obesity_tabfairgan_250_15,obesity_tabfairgan_250_2,obesity_tabfairgan_250_5,obesity_tabfairgan_300_02,obesity_tabfairgan_300_04,obesity_tabfairgan_300_06,obesity_tabfairgan_300_08,obesity_tabfairgan_300_1,obesity_tabfairgan_300_15,obesity_tabfairgan_300_2,obesity_tabfairgan_300_5,obesity_multifairgan_50_02,obesity_multifairgan_50_04,obesity_multifairgan_50_06,obesity_multifairgan_50_08,obesity_multifairgan_50_1,obesity_multifairgan_50_15,obesity_multifairgan_50_2,obesity_multifairgan_50_5,obesity_multifairgan_100_02,obesity_multifairgan_100_04,obesity_multifairgan_100_06,obesity_multifairgan_100_08,obesity_multifairgan_100_1,obesity_multifairgan_100_15,obesity_multifairgan_100_2,obesity_multifairgan_100_5,obesity_multifairgan_150_02,obesity_multifairgan_150_04,obesity_multifairgan_150_06,obesity_multifairgan_150_08,obesity_multifairgan_150_1,obesity_multifairgan_150_15,obesity_multifairgan_150_2,obesity_multifairgan_150_5,obesity_multifairgan_200_02,obesity_multifairgan_200_04,obesity_multifairgan_200_06,obesity_multifairgan_200_08,obesity_multifairgan_200_1,obesity_multifairgan_200_15,obesity_multifairgan_200_2,obesity_multifairgan_200_5,obesity_multifairgan_250_02,obesity_multifairgan_250_04,obesity_multifairgan_250_06,obesity_multifairgan_250_08,obesity_multifairgan_250_1,obesity_multifairgan_250_15,obesity_multifairgan_250_2,obesity_multifairgan_250_5,obesity_multifairgan_300_02,obesity_multifairgan_300_04,obesity_multifairgan_300_06,obesity_multifairgan_300_08,obesity_multifairgan_300_1,obesity_multifairgan_300_15,obesity_multifairgan_300_2,obesity_multifairgan_300_5
-0.0496,-0.0339,-0.1185,-0.0081,0.0184,0.01,0.0658,0.0057,-0.0016,-0.0918,0.0058,-0.0745,0.0127,0.1459,0.0524,-0.1149,0.0458,-0.0317,0.0672,0.0009,-0.0369,-0.0394,-0.0431,-0.0169,0.0282,0.0393,-0.0512,0.0552,-0.0346,0.0251,0.1387,-0.0329,0.0077,0.046,-0.0009,0.0635,-0.0415,0.1058,0.0362,0.0419,0.051,0.0061,0.0727,0.0952,0.0799,0.1495,-0.0093,0.0377,0.0221,-0.0421,0.0135,-0.0714,-0.1269,-0.0077,0.0041,0.047,0.0481,-0.0748,-0.0323,-0.0006,0.053,-0.0471,-0.122,0.0022,0.0433,-0.0307,0.0377,-0.0549,-0.0523,0.068,0.0751,0.015,0.0536,0.0995,0.0397,-0.0961,-0.0308,0.0083,-0.0946,0.0208,0.0268,0.0253,0.0871,-0.0657,-0.081,-0.0353,0.0479,-0.0774,0.0362,-0.0941,-0.1567,0.1693,-0.0555,-0.0136,-0.0197,-0.0244
-0.0496,-0.0339,-0.1185,-0.0081,0.0184,0.01,0.0658,0.0057,-0.0016,-0.0918,0.0058,-0.0745,0.0127,0.1459,0.0524,-0.1149,0.0458,-0.0317,0.0672,0.0009,-0.0369,-0.0394,-0.0431,-0.0169,0.0282,0.0393,-0.0512,0.0552,-0.0346,0.0251,0.1387,-0.0329,0.0077,0.046,-0.0009,0.0635,-0.0415,0.1058,0.0362,0.0419,0.051,0.0061,0.0727,0.0952,0.0799,0.1495,-0.0093,0.0377,0.0221,-0.0421,0.0135,-0.0714,-0.1269,-0.0077,0.0041,0.047,0.0481,-0.0748,-0.0323,-0.0006,0.053,-0.0471,-0.122,0.0022,0.0433,-0.0307,0.0377,-0.0549,-0.0523,0.068,0.0751,0.015,0.0536,0.0995,0.0397,-0.0961,-0.0308,0.0083,-0.0946,0.0208,0.0268,0.0253,0.0871,-0.0657,-0.081,-0.0353,0.0479,-0.0774,0.0362,-0.0941,-0.1567,0.1693,-0.0555,-0.0136,-0.0197,-0.0244
0.9193,0.9445,0.8063,0.9857,1.0327,1.0174,1.1333,1.0105,0.9978,0.882,1.008,0.9022,1.0174,1.2294,1.0804,0.8586,1.0556,0.9613,1.088,1.0012,0.9557,0.9545,0.9507,0.9799,1.0363,1.0469,0.9404,1.0736,0.9606,1.0313,1.1926,0.9597,1.0093,1.0563,0.9989,1.0809,0.9517,1.1387,1.0442,1.0507,1.0637,1.007,1.0879,1.1244,1.1032,1.2115,0.989,1.0447,1.0477,0.9174,1.0305,0.859,0.7794,0.9849,1.0088,1.1056,1.0961,0.8814,0.9372,0.9989,1.1167,0.9069,0.79,1.0042,1.0922,0.9455,1.07,0.901,0.9028,1.1429,1.1554,1.0315,1.1123,1.2225,1.0769,0.8193,0.9437,1.016,0.8234,1.0427,1.0494,1.0474,1.1858,0.8933,0.8567,0.939,1.1031,0.8712,1.0621,0.8597,0.7871,1.298,0.9152,0.9772,0.9695,0.955
1.0617,0.8896,0.9544,0.8765,1.0802,0.8584,0.9038,0.8401,0.7807,0.7965,0.8399,0.8263,0.6542,0.5379,0.5063,0.6241,0.8962,0.7292,0.7547,0.7888,0.6793,0.7642,0.6528,0.6784,0.8548,0.7711,0.7482,0.7532,0.7157,0.7042,0.6809,0.7812,0.8095,0.7749,0.7779,0.7289,0.7118,0.8186,0.7846,0.7462,0.7707,0.7605,0.802,0.6217,0.734,0.661,0.7214,0.7504,1.0522,1.1187,0.9651,1.0037,1.024,0.9859,0.9728,1.1761,1.0672,0.9019,1.0306,1.0672,1.1342,0.9601,1.0469,1.0752,1.2561,1.0486,1.0575,0.9186,0.951,0.8199,0.9008,1.0312,0.8656,1.0968,0.9666,0.9828,1.0078,0.8915,0.9584,0.8306,0.9413,0.8602,0.944,0.9675,0.576,0.7832,1.0199,0.812,0.764,0.7055,0.7365,0.5937,0.6295,0.8581,0.6472,0.831
0.1308,-0.073,0.1571,-0.1,0.0675,-0.1138,-0.1698,-0.1193,-0.0892,-0.1093,-0.0607,-0.1323,-0.1633,-0.3988,-0.3435,-0.2235,0.0599,-0.1167,-0.1871,-0.0683,-0.1297,-0.0514,-0.0681,-0.0882,-0.0799,-0.1024,-0.1091,-0.1731,-0.0761,-0.1528,-0.2979,-0.0886,-0.0595,-0.1263,-0.0529,-0.1526,-0.1107,-0.2192,-0.1178,-0.1108,-0.125,-0.0122,-0.0993,-0.2893,-0.1852,-0.3211,-0.0682,-0.1154,0.0462,0.1213,-0.0384,0.086,0.1836,-0.0167,-0.0237,0.13,0.0809,-0.1205,0.0679,0.0382,0.1156,-0.0514,0.1821,0.0467,0.154,0.059,0.0554,-0.098,-0.0714,-0.2102,-0.1633,0.0343,-0.1554,0.1095,-0.0715,-0.1028,0.0379,-0.0953,0.0999,-0.1393,-0.0896,-0.1175,-0.1277,0.0845,-0.3107,-0.1681,0.0514,-0.1786,-0.1863,-0.2083,-0.2024,-0.391,-0.2422,-0.0654,-0.2056,-0.1329
1.2615,0.9115,1.2733,0.8815,1.0914,0.8374,0.7823,0.8316,0.788,1.2393,0.8613,0.8568,0.619,0.4018,0.4084,0.7515,0.8661,0.8296,0.5167,0.8048,0.7929,1.1266,1.1,0.7826,0.7725,0.579,0.8829,0.6166,0.921,0.5316,0.3446,0.9022,0.8017,0.6095,0.811,0.5422,0.8807,0.4246,0.5963,0.5844,0.6154,0.9169,0.5806,0.2657,0.5,0.3579,0.8112,0.4871,1.0857,1.2031,0.9492,1.1405,1.3852,0.9755,0.965,1.2539,1.1427,0.8499,1.1038,1.068,1.221,0.9091,1.3683,1.0762,1.4106,1.1156,1.0927,0.8349,0.8845,0.7225,0.7577,1.053,0.7717,1.1723,0.8795,0.8273,1.086,0.8697,1.1783,0.7948,0.876,0.8198,0.7778,1.1562,0.5004,0.7884,1.1351,0.7871,0.7206,0.7161,1.4577,0.3995,0.7008,0.8996,0.6902,0.8301
-0.1002,-0.1546,-0.1295,-0.0343,-0.0032,-0.0775,0.0006,-0.1271,-0.0945,-0.1589,-0.0972,-0.1081,-0.1382,-0.2449,-0.2066,-0.206,-0.0475,-0.1004,-0.0395,-0.0831,-0.1043,-0.1124,-0.152,-0.1063,-0.0461,-0.0321,-0.0736,-0.0815,-0.0952,-0.0395,-0.0579,-0.0806,-0.0587,-0.0469,-0.0684,-0.0612,-0.091,0.0122,-0.0256,-0.0491,-0.051,-0.0614,-0.0337,-0.0123,-0.0578,-0.0559,-0.0964,-0.0169,0.0102,-0.0647,0.038,-0.133,-0.0248,0.0472,-0.0157,0.0838,0.0027,-0.0209,0.0219,0.0481,-0.0274,-0.003,-0.1267,0.0019,0.1081,0.0566,0.0498,-0.0588,-0.124,-0.132,-0.0136,0.0974,0.0155,0.0522,0.0376,-0.0022,-0.054,0.0415,-0.0637,-0.1041,0.0375,-0.1249,-0.0595,-0.1425,-0.3267,-0.1566,0.0005,-0.1457,-0.2142,-0.3237,-0.3843,-0.1744,-0.2591,-0.1658,-0.2254,-0.1775
0.8814,0.8239,0.849,0.9589,0.9959,0.9025,1.0008,0.8409,0.8967,0.8315,0.8943,0.8754,0.8481,0.7302,0.7734,0.7799,0.9495,0.8908,0.9574,0.9101,0.8896,0.8827,0.8428,0.8874,0.9499,0.9662,0.9233,0.9119,0.9016,0.9571,0.9388,0.9135,0.9368,0.9502,0.9277,0.9348,0.9037,1.0134,0.9723,0.9486,0.945,0.9366,0.9644,0.9868,0.9388,0.9384,0.8978,0.9821,1.0173,0.8951,1.063,0.7989,0.9646,1.0845,0.976,1.1375,1.0045,0.9725,1.0305,1.0768,0.9533,0.9955,0.8202,1.0032,1.2832,1.088,1.0732,0.8947,0.808,0.809,0.9806,1.1667,1.0246,1.0703,1.0583,0.9954,0.9082,1.0588,0.9068,0.8501,1.049,0.8357,0.9048,0.821,0.5235,0.8029,1.001,0.822,0.7593,0.5675,0.5542,0.79,0.6865,0.7597,0.7269,0.7836
0.042,-0.0872,-0.0345,-0.1012,0.0568,-0.1151,-0.0741,-0.1229,-0.1762,-0.1599,-0.1312,-0.1368,-0.279,-0.4178,-0.4179,-0.2952,-0.0791,-0.2209,-0.2042,-0.1721,-0.2641,-0.1957,-0.2844,-0.2604,-0.1166,-0.1854,-0.206,-0.2164,-0.2454,-0.2397,-0.2715,-0.1711,-0.1569,-0.1937,-0.1861,-0.2214,-0.2337,-0.146,-0.172,-0.2103,-0.1872,-0.1855,-0.1537,-0.319,-0.2257,-0.2876,-0.2291,-0.1972,0.0296,0.0723,-0.0238,0.0023,0.0137,-0.0095,-0.0171,0.0968,0.038,-0.0706,0.0206,0.0392,0.0749,-0.0224,0.028,0.0448,0.1051,0.0285,0.0328,-0.044,-0.0288,-0.1302,-0.0644,0.0208,-0.0876,0.0638,-0.0206,-0.0096,0.0038,-0.0819,-0.0253,-0.1121,-0.0462,-0.0982,-0.0299,-0.0231,-0.2433,-0.164,0.0082,-0.1492,-0.1912,-0.1772,-0.1484,-0.3089,-0.2708,-0.082,-0.2662,-0.1294
0.0021,0.0008,0.0003,0.0005,0.0006,0.0,0.0002,0.0,0.0,0.0003,0.0002,0.0001,0.0,0.0005,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0002,0.0005,0.0,0.0,0.0,0.0001,0.0,0.0,0.0003,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0004,0.0005,0.0004,0.0001,0.0,0.0,0.0,0.0002,0.0013,0.0003,0.0008,0.0005,0.0004,0.0,0.0004,0.0007,0.0011,0.0,0.0,0.0026,0.0005,0.0005,0.0002,0.0002,0.0004,0.0,0.0002,0.0003,0.0003,0.0,0.0005,0.0005,0.0006,0.0001,0.0008,0.0001,0.0016,0.0001,0.0,0.0006,0.0004,0.0015,0.0009,0.0,0.0,0.0006,0.0001,0.0011,0.001,0.0028,0.001,0.0,0.0009,0.0,0.0002
