obesity_tabfairgan_50_02,obesity_tabfairgan_50_04,obesity_tabfairgan_50_06,obesity_tabfairgan_50_08,obesity_tabfairgan_50_1,obesity_tabfairgan_50_15,obesity_tabfairgan_50_2,obesity_tabfairgan_50_5,obesity_tabfairgan_100_02,obesity_tabfairgan_100_04,obesity_tabfairgan_100_06,obesity_tabfairgan_100_08,obesity_tabfairgan_100_1,obesity_tabfairgan_100_15,obesity_tabfairgan_100_2,obesity_tabfairgan_100_5,obesity_tabfairgan_150_02,obesity_tabfairgan_150_04,obesity_tabfairgan_150_06,obesity_tabfairgan_150_08,obesity_tabfairgan_150_1,obesity_tabfairgan_150_15,obesity_tabfairgan_150_2,obesity_tabfairgan_150_5,obesity_tabfairgan_200_02,obesity_tabfairgan_200_04,obesity_tabfairgan_200_06,obesity_tabfairgan_200_08,obesity_tabfairgan_200_1,obesity_tabfairgan_200_15,obesity_tabfairgan_200_2,obesity_tabfairgan_200_5,obesity_tabfairgan_250_02,obesity_tabfairgan_250_04,obesity_tabfairgan_250_06,obesity_tabfairgan_250_08,obesity_tabfairgan_250_1,obesity_tabfairgan_250_15,obesity_tabfairgan_250_2,obesity_tabfairgan_250_5,obesity_tabfairgan_300_02,obesity_tabfairgan_300_04,obesity_tabfairgan_300_06,obesity_tabfairgan_300_08,obesity_tabfairgan_300_1,obesity_tabfairgan_300_15,obesity_tabfairgan_300_2,obesity_tabfairgan_300_5,obesity_distcorrgan_50_02,obesity_distcorrgan_50_04,obesity_distcorrgan_50_06,obesity_distcorrgan_50_08,obesity_distcorrgan_50_1,obesity_distcorrgan_50_15,obesity_distcorrgan_50_2,obesity_distcorrgan_50_5,obesity_distcorrgan_100_02,obesity_distcorrgan_100_04,obesity_distcorrgan_100_06,obesity_distcorrgan_100_08,obesity_distcorrgan_100_1,obesity_distcorrgan_100_15,obesity_distcorrgan_100_2,obesity_distcorrgan_100_5,obesity_distcorrgan_150_02,obesity_distcorrgan_150_04,obesity_distcorrgan_150_06,obesity_distcorrgan_150_08,obesity_distcorrgan_150_1,obesity_distcorrgan_150_15,obesity_distcorrgan_150_2,obesity_distcorrgan_150_5,obesity_distcorrgan_200_02,obesity_distcorrgan_200_04,obesity_distcorrgan_200_06,obesity_distcorrgan_200_08,obesity_distcorrgan_200_1,obesity_distcorrgan_200_15,obesity_distcorrgan_200_2,obesity_distcorrgan_200_5,obesity_distcorrgan_250_02,obesity_distcorrgan_250_04,obesity_distcorrgan_250_06,obesity_distcorrgan_250_08,obesity_distcorrgan_250_1,obesity_distcorrgan_250_15,obesity_distcorrgan_250_2,obesity_distcorrgan_250_5,obesity_distcorrgan_300_02,obesity_distcorrgan_300_04,obesity_distcorrgan_300_06,obesity_distcorrgan_300_08,obesity_distcorrgan_300_1,obesity_distcorrgan_300_15,obesity_distcorrgan_300_2,obesity_distcorrgan_300_5,obesity_multifairgan_50_02,obesity_multifairgan_50_04,obesity_multifairgan_50_06,obesity_multifairgan_50_08,obesity_multifairgan_50_1,obesity_multifairgan_50_15,obesity_multifairgan_50_2,obesity_multifairgan_50_5,obesity_multifairgan_100_02,obesity_multifairgan_100_04,obesity_multifairgan_100_06,obesity_multifairgan_100_08,obesity_multifairgan_100_1,obesity_multifairgan_100_15,obesity_multifairgan_100_2,obesity_multifairgan_100_5,obesity_multifairgan_150_02,obesity_multifairgan_150_04,obesity_multifairgan_150_06,obesity_multifairgan_150_08,obesity_multifairgan_150_1,obesity_multifairgan_150_15,obesity_multifairgan_150_2,obesity_multifairgan_150_5,obesity_multifairgan_200_02,obesity_multifairgan_200_04,obesity_multifairgan_200_06,obesity_multifairgan_200_08,obesity_multifairgan_200_1,obesity_multifairgan_200_15,obesity_multifairgan_200_2,obesity_multifairgan_200_5,obesity_multifairgan_250_02,obesity_multifairgan_250_04,obesity_multifairgan_250_06,obesity_multifairgan_250_08,obesity_multifairgan_250_1,obesity_multifairgan_250_15,obesity_multifairgan_250_2,obesity_multifairgan_250_5,obesity_multifairgan_300_02,obesity_multifairgan_300_04,obesity_multifairgan_300_06,obesity_multifairgan_300_08,obesity_multifairgan_300_1,obesity_multifairgan_300_15,obesity_multifairgan_300_2,obesity_multifairgan_300_5,obesity_decaf_50,obesity_decaf_100,obesity_decaf_150,obesity_decaf_200,obesity_decaf_250,obesity_decaf_300,obesity_ctgan_50,obesity_tvae_50,obesity_ctgan_100,obesity_tvae_100,obesity_ctgan_150,obesity_tvae_150,obesity_ctgan_200,obesity_tvae_200,obesity_ctgan_250,obesity_tvae_250,obesity_ctgan_300,obesity_tvae_300
-0.0084,-0.046,-0.0578,0.1157,0.0275,-0.1107,-0.1436,0.058,0.1532,0.0498,0.0259,-0.1749,0.0441,-0.1107,-0.0801,0.0101,0.0044,0.0772,-0.1174,-0.1613,0.0461,0.0924,-0.093,-0.0141,0.0297,-0.071,0.0153,-0.07,-0.0526,0.1867,0.2395,0.1403,0.0414,0.1323,-0.0763,-0.0121,0.0774,0.0256,0.1694,0.077,-0.0316,-0.0049,0.0463,-0.0339,-0.0571,0.0251,0.0549,-0.1129,-0.0858,-0.0157,0.0267,0.0118,-0.0509,-0.0156,0.0341,-0.0391,-0.0164,0.0312,-0.0254,-0.0119,-0.0338,-0.0156,-0.0504,-0.0444,-0.0338,0.0002,0.0321,-0.0154,-0.1437,0.1117,-0.0131,0.0556,0.044,-0.0364,-0.0294,0.0325,0.0008,0.0156,0.0575,0.0646,-0.117,0.1044,-0.0155,0.0092,0.1116,-0.0515,0.0035,0.0081,0.0458,-0.0071,0.0818,-0.027,0.0358,-0.024,0.0147,0.0174,-0.0659,-0.0177,0.0785,0.0802,0.0619,-0.0461,0.0369,0.03,-0.027,-0.0402,0.0106,0.0564,0.0252,-0.006,0.043,0.0349,0.0261,-0.0226,-0.0123,-0.0279,0.0718,0.0315,-0.0498,-0.0388,0.0739,0.0423,0.0512,0.0174,-0.0304,-0.0326,0.0063,-0.0047,-0.0035,-0.0078,0.0316,0.0072,-0.1516,0.032,-0.082,0.0586,0.041,-0.0418,0.0188,-0.0342,0.0049,-0.0306,0.0563,0.0328,-0.0689,-0.094,0.0042,-0.0631,0.0651,0.0695,0.0458,0.0871,0.0317,0.1303,-0.0096,0.1014,0.0361,-0.0398,0.0263,0.083,-0.0641,-0.0254
-0.0084,-0.046,-0.0578,0.1157,0.0275,-0.1107,-0.1436,0.058,0.1532,0.0498,0.0259,-0.1749,0.0441,-0.1107,-0.0801,0.0101,0.0044,0.0772,-0.1174,-0.1613,0.0461,0.0924,-0.093,-0.0141,0.0297,-0.071,0.0153,-0.07,-0.0526,0.1867,0.2395,0.1403,0.0414,0.1323,-0.0763,-0.0121,0.0774,0.0256,0.1694,0.077,-0.0316,-0.0049,0.0463,-0.0339,-0.0571,0.0251,0.0549,-0.1129,-0.0858,-0.0157,0.0267,0.0118,-0.0509,-0.0156,0.0341,-0.0391,-0.0164,0.0312,-0.0254,-0.0119,-0.0338,-0.0156,-0.0504,-0.0444,-0.0338,0.0002,0.0321,-0.0154,-0.1437,0.1117,-0.0131,0.0556,0.044,-0.0364,-0.0294,0.0325,0.0008,0.0156,0.0575,0.0646,-0.117,0.1044,-0.0155,0.0092,0.1116,-0.0515,0.0035,0.0081,0.0458,-0.0071,0.0818,-0.027,0.0358,-0.024,0.0147,0.0174,-0.0659,-0.0177,0.0785,0.0802,0.0619,-0.0461,0.0369,0.03,-0.027,-0.0402,0.0106,0.0564,0.0252,-0.006,0.043,0.0349,0.0261,-0.0226,-0.0123,-0.0279,0.0718,0.0315,-0.0498,-0.0388,0.0739,0.0423,0.0512,0.0174,-0.0304,-0.0326,0.0063,-0.0047,-0.0035,-0.0078,0.0316,0.0072,-0.1516,0.032,-0.082,0.0586,0.041,-0.0418,0.0188,-0.0342,0.0049,-0.0306,0.0563,0.0328,-0.0689,-0.094,0.0042,-0.0631,0.0651,0.0695,0.0458,0.0871,0.0317,0.1303,-0.0096,0.1014,0.0361,-0.0398,0.0263,0.083,-0.0641,-0.0254
0.9854,0.9114,0.8862,1.2227,1.05,0.8084,0.7787,1.1111,1.2624,1.0802,1.0394,0.7703,1.0658,0.8573,0.9025,1.0141,1.0059,1.1142,0.8589,0.8095,1.0645,1.1433,0.8865,0.9806,1.0373,0.9189,1.0189,0.9165,0.9386,1.3102,1.3865,1.2105,1.0526,1.1656,0.9158,0.9857,1.0997,1.0341,1.2499,1.1086,0.9616,0.9935,1.0582,0.9595,0.9316,1.0291,1.0688,0.8698,0.8453,0.9704,1.0567,1.0248,0.9017,0.9699,1.0698,0.9235,0.9687,1.0582,0.95,0.9738,0.9379,0.9679,0.9022,0.9161,0.9383,1.0003,1.0637,0.9718,0.7458,1.26,0.9749,1.1245,1.0789,0.9374,0.943,1.0622,1.0017,1.0313,1.1386,1.1346,0.8129,1.2192,0.971,1.0166,1.2263,0.9066,1.0062,1.0153,1.0798,0.9881,1.1467,0.948,1.0654,0.9517,1.0293,1.0326,0.8591,0.9632,1.1831,1.1834,1.1289,0.9128,1.0761,1.0581,0.9512,0.926,1.021,1.116,1.0542,0.9889,1.0895,1.0769,1.052,0.9576,0.9758,0.9434,1.1578,1.0659,0.9091,0.9211,1.1653,1.0909,1.1012,1.0327,0.9402,0.94,1.012,0.9904,0.9933,0.9847,1.058,1.0135,0.7515,1.0608,0.8621,1.1303,1.0723,0.9237,1.0327,0.9382,1.0085,0.9425,1.0984,1.0559,0.8638,0.8145,1.0044,0.9325,1.0755,1.1025,1.0895,1.1097,1.0607,1.1596,0.9808,1.1275,1.0619,0.9558,1.0389,1.0976,0.9098,0.9712
1.0663,0.9158,1.0289,0.8971,0.975,1.1458,0.9351,1.053,0.7309,0.764,0.6811,0.8663,0.744,0.7871,0.8441,0.633,0.6478,0.7375,0.7244,0.5393,0.8287,0.6229,0.8551,0.5215,0.9023,0.7501,0.7264,0.813,0.6432,0.6136,0.682,0.6615,0.8567,0.6822,0.8047,0.6657,0.6528,0.6104,0.6839,0.5574,0.6465,0.8186,0.8302,0.8805,0.6839,0.7228,0.7178,0.5735,1.043,1.1065,1.0647,0.9476,1.0022,0.9277,0.9511,1.1377,1.0266,0.9678,0.9998,0.9767,0.9629,0.9052,1.0884,1.068,0.9644,1.0657,1.0347,1.0689,1.0658,1.0095,0.9489,0.912,0.6494,1.1905,0.9499,1.1637,1.002,0.9157,0.8938,0.9108,1.4427,0.9005,1.0634,1.0077,0.9775,1.1021,0.9819,1.0837,0.3413,1.2581,0.6125,0.9571,1.0929,1.0498,1.104,0.8143,1.027,1.1292,0.9641,1.0415,0.9577,1.0319,1.0778,1.1677,1.1304,0.8736,0.9495,1.0648,0.9804,1.0108,0.9116,0.8989,1.0264,0.8217,1.0414,0.8816,0.8716,1.0205,0.9617,0.9586,0.9382,1.0878,1.0327,0.9722,1.0023,1.0349,0.8671,1.1164,0.8818,0.8778,1.0023,1.0522,1.0436,0.7488,0.9717,0.9203,0.8574,0.8489,0.6166,0.756,0.8675,0.8284,0.9651,0.8281,0.9901,1.0863,0.9528,0.9729,0.9509,1.0029,1.0876,0.8711,0.9906,0.8988,0.9903,0.7403,1.1118,0.9155,0.7436,0.8994,0.589,0.86
0.0595,-0.0881,0.1095,-0.2283,-0.0594,0.264,0.1857,0.0663,-0.3725,-0.2296,-0.25,-0.1799,-0.1757,-0.1122,-0.09,-0.1974,-0.1619,-0.2381,-0.1454,-0.3124,-0.0848,-0.3032,0.1402,-0.2273,-0.0577,0.0962,-0.1372,-0.0782,-0.1324,-0.4524,-0.4761,-0.3378,-0.092,-0.2577,0.0764,-0.1314,-0.1929,-0.1624,-0.3889,-0.3537,-0.154,-0.0935,-0.0719,0.136,-0.0731,-0.1103,-0.1071,-0.2257,0.1469,0.0828,0.0553,-0.0409,-0.0512,-0.0499,-0.0626,0.1362,0.0476,-0.0689,0.0348,-0.0233,-0.0506,-0.0692,0.1,0.0826,-0.0371,0.0531,0.0394,0.0637,0.2416,-0.1454,-0.0408,-0.1202,-0.2871,0.1767,-0.0536,0.1204,0.0041,-0.0809,-0.1414,-0.1015,0.3727,-0.2525,0.0753,0.0109,-0.1915,0.1455,-0.0193,0.0475,-0.5126,0.1385,-0.3244,-0.043,0.0724,0.0648,0.0789,-0.108,0.0978,0.0952,-0.1158,-0.082,-0.1135,0.084,0.0695,0.1232,0.1255,-0.1174,-0.0415,0.0709,-0.0496,0.0119,-0.1125,-0.13,0.0393,-0.1353,0.0354,-0.0958,-0.1858,0.0461,-0.0579,-0.0595,-0.1103,0.0895,0.0629,-0.047,0.0434,0.0767,-0.1133,0.0864,-0.0913,-0.0719,-0.0399,0.0426,0.2604,-0.1951,0.0995,-0.1611,-0.1267,-0.1125,-0.1754,-0.1699,-0.1049,-0.1239,0.0619,-0.1087,0.1045,0.2018,-0.0154,0.0877,-0.149,-0.125,0.0851,-0.2148,-0.0433,-0.2367,-0.0162,-0.2254,0.1014,-0.0429,-0.1129,-0.1707,-0.2459,-0.0411
1.098,0.8863,1.1565,0.6776,0.9066,1.506,1.3945,1.1048,0.4722,0.6173,0.6,1.491,0.6486,1.3636,1.2667,0.5657,0.5952,0.5833,1.3125,0.6838,0.805,0.5283,1.561,0.5617,0.8125,1.625,0.5655,1.235,0.8587,0.3214,0.3123,0.3552,0.7241,0.1625,1.6875,0.5714,0.4695,0.5778,0.3333,0.2927,0.6667,0.8046,0.7412,1.7255,1.1915,0.5312,0.7,0.7583,1.2371,1.1532,1.1139,0.931,1.1209,0.9026,0.8879,1.2299,1.0645,0.9007,1.0522,0.9667,0.929,0.8802,1.1908,1.1652,0.9526,1.0731,1.0523,1.1045,1.4326,0.8093,0.9329,0.825,0.5981,1.333,0.9348,1.182,1.006,0.8854,0.8228,0.789,1.9318,0.7076,1.1064,1.014,0.7353,1.2364,0.9634,1.087,0.3081,1.2664,0.5178,0.9441,1.103,1.0951,1.1154,0.7864,1.1359,1.1489,0.8382,1.1184,0.846,1.1412,1.1252,1.2008,1.2124,0.8372,0.9306,1.1211,0.9335,1.023,0.8432,0.8383,1.0787,0.8068,1.0687,0.8532,0.7571,1.1095,0.9164,0.9044,0.8102,1.1443,1.1132,0.9355,1.0674,1.112,0.8547,1.1239,0.8846,0.8695,0.9379,1.0616,1.4707,0.6889,1.2056,0.8129,0.8059,0.795,0.6071,0.75,0.8495,0.7893,0.8834,0.795,1.1425,1.2923,0.8667,2.0,0.4412,0.8,1.1277,0.4053,0.9321,0.1793,0.9748,0.3463,1.1509,1.2155,0.7667,0.3327,0.7182,1.0495
-0.0067,-0.1001,-0.0486,-0.0201,0.023,0.0571,-0.1919,-0.0267,-0.0582,-0.0522,-0.1158,-0.1553,-0.1075,-0.2592,-0.101,-0.1298,-0.109,-0.1034,-0.2172,-0.3022,-0.1194,-0.2242,-0.1987,-0.2474,-0.0298,-0.1478,-0.0366,-0.1328,-0.1265,-0.1165,-0.058,-0.0117,-0.0358,0.0193,-0.0939,-0.0531,-0.09,-0.1573,-0.0439,-0.0466,-0.088,-0.0585,-0.0556,-0.17,-0.1971,-0.0308,-0.1305,-0.1477,0.0007,-0.0356,-0.0192,0.0717,-0.0859,-0.1138,0.0546,-0.0075,-0.0354,-0.0022,-0.0306,0.0028,-0.0296,-0.0246,-0.0089,-0.1101,-0.0366,-0.0595,0.0676,0.0628,-0.027,0.0076,-0.0054,-0.0448,-0.2582,0.0161,-0.0543,0.0425,0.049,0.0584,0.1019,0.0102,0.1043,0.0568,-0.0419,-0.0037,0.0738,-0.0076,0.024,0.0614,-0.4409,0.1571,-0.2433,-0.154,0.0761,-0.0469,0.0314,-0.1335,-0.1161,-0.1068,0.1068,0.0133,-0.0179,-0.0136,0.0129,0.0199,-0.0369,-0.0288,-0.0809,0.131,0.0226,0.0095,0.0891,-0.0289,0.092,-0.0511,-0.0294,0.0354,0.0252,0.1725,-0.1058,-0.0697,0.0094,0.091,-0.0211,-0.0016,-0.0948,-0.0155,-0.0921,-0.0004,-0.0562,-0.1483,-0.0436,-0.0407,-0.0993,-0.0499,-0.1407,-0.1086,-0.1651,-0.1553,-0.219,-0.2165,-0.0547,-0.1452,-0.0527,-0.1514,-0.0174,-0.0329,-0.0032,-0.0377,0.007,-0.0014,0.0965,0.0243,-0.0619,0.0682,-0.1506,-0.0145,0.0,-0.0319,-0.2075,0.0304,-0.283,-0.0415
0.9912,0.8744,0.9385,0.9744,1.0302,1.0727,0.7791,0.9671,0.9306,0.9405,0.8691,0.8214,0.8774,0.7161,0.8916,0.8617,0.8811,0.8851,0.7712,0.6796,0.8619,0.7465,0.7858,0.7201,0.9679,0.8484,0.9606,0.8566,0.8667,0.8741,0.9357,0.9861,0.9611,1.0205,0.9023,0.9447,0.9053,0.8318,0.9521,0.9493,0.9087,0.934,0.9403,0.8233,0.794,0.9676,0.8614,0.8488,1.001,0.9474,0.9651,1.1393,0.8367,0.7888,1.1092,0.9887,0.957,0.9972,0.9565,1.0043,0.9547,0.9574,0.9825,0.8083,0.9575,0.9305,1.092,1.0847,0.9616,1.0115,0.9913,0.9185,0.6908,1.0199,0.9329,1.0568,1.0705,1.0906,1.1813,1.0208,1.1512,1.0714,0.9493,0.9954,1.0966,0.99,1.0344,1.1167,0.506,1.226,0.7028,0.8195,1.1028,0.9312,1.0443,0.8027,0.8315,0.8332,1.1999,1.0201,0.9745,0.9806,1.0198,1.0312,0.9495,0.9558,0.8777,1.2072,1.0325,1.0155,1.1626,0.9624,1.214,0.9262,0.9486,1.0587,1.0391,1.4959,0.8505,0.8854,1.019,1.1576,0.967,0.9979,0.8733,0.9804,0.8899,0.9995,0.9305,0.7365,0.9477,0.9457,0.8785,0.9222,0.8158,0.8725,0.8002,0.7395,0.6633,0.71,0.9333,0.7429,0.9138,0.7999,0.9784,0.9557,0.9968,0.9611,1.0072,0.9985,1.1557,1.026,0.9167,1.0748,0.7734,0.9847,1.0,0.9665,0.7663,1.0323,0.6804,0.9569
0.0475,-0.0645,0.0206,-0.076,-0.0178,0.0928,-0.046,0.033,-0.2263,-0.1893,-0.2831,-0.0971,-0.1988,-0.1563,-0.121,-0.3097,-0.2915,-0.2283,-0.2341,-0.4014,-0.1307,-0.3343,-0.1087,-0.3882,-0.0774,-0.2015,-0.2241,-0.1478,-0.2869,-0.3288,-0.2865,-0.2641,-0.1146,-0.2594,-0.1401,-0.2855,-0.2955,-0.3191,-0.2825,-0.3809,-0.2983,-0.1478,-0.1287,-0.091,-0.2459,-0.2329,-0.2452,-0.3674,0.0298,0.0617,0.033,-0.0298,0.001,-0.0357,-0.0267,0.0835,0.0206,-0.0241,-0.0001,-0.017,-0.0252,-0.0558,0.0476,0.0362,-0.0274,0.0501,0.0261,0.0467,0.0424,0.0063,-0.0302,-0.0549,-0.2836,0.1249,-0.0409,0.1064,0.0014,-0.0594,-0.0735,-0.041,0.2411,-0.0822,0.0486,0.0059,-0.016,0.0705,-0.0113,0.0434,-0.5725,0.1669,-0.2961,-0.0327,0.0627,0.0337,0.0711,-0.1021,0.0182,0.0791,-0.0227,0.0291,-0.03,0.0202,0.0439,0.1009,0.087,-0.0871,-0.0306,0.0386,-0.0137,0.0061,-0.0614,-0.0739,0.0132,-0.1212,0.0217,-0.0779,-0.0903,0.0092,-0.0253,-0.026,-0.0324,0.0569,0.018,-0.0216,0.0015,0.0263,-0.1092,0.0795,-0.0924,-0.066,0.0017,0.0352,0.0314,-0.1659,-0.0174,-0.0617,-0.1084,-0.0763,-0.2045,-0.1582,-0.1094,-0.0959,-0.0179,-0.112,-0.0073,0.0604,-0.0422,-0.0198,-0.0463,0.0028,0.0576,-0.1104,-0.0063,-0.078,-0.0062,-0.2236,0.0677,-0.0671,-0.1986,-0.0831,-0.3239,-0.1168
0.0003,0.0,0.0002,0.0001,0.0001,0.0001,0.0009,0.0015,0.0,0.0006,0.0007,0.0001,0.0001,0.0018,0.0,0.0001,0.0001,0.0,0.0004,0.0,0.001,0.0004,0.0017,0.0,0.0001,0.0009,0.0003,0.0002,0.0,0.0002,0.0001,0.0001,0.0001,0.0,0.0,0.0004,0.0002,0.0002,0.0,0.0014,0.0002,0.0001,0.0005,0.0043,0.0013,0.0001,0.0008,0.0003,0.0001,0.001,0.0008,0.0011,0.0001,0.0005,0.0003,0.0006,0.0003,0.0,0.0,0.0001,0.0,0.0003,0.0,0.0013,0.0,0.0016,0.0001,0.0001,0.0001,0.0006,0.0002,0.0001,0.0003,0.001,0.0,0.0008,0.0003,0.0014,0.0023,0.0001,0.0001,0.0012,0.0009,0.0,0.0002,0.0003,0.0001,0.0,0.0,0.0001,0.0006,0.0016,0.0,0.0005,0.0003,0.0005,0.001,0.0035,0.0006,0.0005,0.0001,0.0,0.0005,0.0012,0.0013,0.0008,0.0005,0.0005,0.0001,0.0,0.0015,0.0001,0.0003,0.0008,0.0002,0.0024,0.0005,0.002,0.0003,0.0,0.0001,0.0,0.0009,0.0,0.0008,0.0001,0.0,0.0007,0.0001,0.0007,0.0006,0.0007,0.0004,0.0007,0.0006,0.0006,0.0014,0.0002,0.0006,0.0003,0.0002,0.0001,0.001,0.0011,0.0,0.0003,0.0,0.0,0.0001,0.0,0.0,0.0004,0.0008,0.0001,0.0021,0.0,0.0009,0.0,0.0016,0.0001,0.0001,0.0
